<TICKER>,x,<CLOSE>,<OPENINT>,<COl12>,Date
????_??6,20081206,9178.3,0,Overall Index,#VALUE!
????_??6,20081207,9130.5,9178.3,Overall Index,12/6/2008
????_??6,20081208,9089.2,9130.5,Overall Index,12/7/2008
????_??6,20081210,9023.7,9089.2,Overall Index,12/8/2008
????_??6,20081213,8973.3,9023.7,Overall Index,12/10/2008
????_??6,20081214,8907,8973.3,Overall Index,12/13/2008
????_??6,20081215,8890.7,8907,Overall Index,12/14/2008
????_??6,20081216,8869,8890.7,Overall Index,12/15/2008
????_??6,20081220,8857.1,8869,Overall Index,12/16/2008
????_??6,20081221,8851.6,8857.1,Overall Index,12/20/2008
????_??6,20081222,8832.2,8851.6,Overall Index,12/21/2008
????_??6,20081223,8803.4,8832.2,Overall Index,12/22/2008
????_??6,20081224,8795.7,8803.4,Overall Index,12/23/2008
????_??6,20081227,8786.7,8795.7,Overall Index,12/24/2008
????_??6,20081228,8757.8,8786.7,Overall Index,12/27/2008
????_??6,20081229,8726.9,8757.8,Overall Index,12/28/2008
????_??6,20081230,8695,8726.9,Overall Index,12/29/2008
????_??6,20081231,8656.3,8695,Overall Index,12/30/2008
????_??6,20090103,8641.8,8656.3,Overall Index,12/31/2008
????_??6,20090104,8619.6,8641.8,Overall Index,1/3/2009
????_??6,20090105,8596.4,8619.6,Overall Index,1/4/2009
????_??6,20090110,8575.7,8596.4,Overall Index,1/5/2009
????_??6,20090111,8542,8575.7,Overall Index,1/10/2009
????_??6,20090112,8519,8542,Overall Index,1/11/2009
????_??6,20090113,8463.7,8519,Overall Index,1/12/2009
????_??6,20090114,8456.9,8463.7,Overall Index,1/13/2009
????_??6,20090117,8458.1,8456.9,Overall Index,1/14/2009
????_??6,20090118,8459.9,8458.1,Overall Index,1/17/2009
????_??6,20090119,8467.4,8459.9,Overall Index,1/18/2009
????_??6,20090120,8496.9,8467.4,Overall Index,1/19/2009
????_??6,20090121,8514.3,8496.9,Overall Index,1/20/2009
????_??6,20090124,8553.7,8514.3,Overall Index,1/21/2009
????_??6,20090125,8519.1,8553.7,Overall Index,1/24/2009
????_??6,20090126,8507.3,8519.1,Overall Index,1/25/2009
????_??6,20090127,8509.1,8507.3,Overall Index,1/26/2009
????_??6,20090128,8505.6,8509.1,Overall Index,1/27/2009
????_??6,20090131,8508.3,8505.6,Overall Index,1/28/2009
????_??6,20090201,8491.8,8508.3,Overall Index,1/31/2009
????_??6,20090202,8496.2,8491.8,Overall Index,2/1/2009
????_??6,20090203,8483.4,8496.2,Overall Index,2/2/2009
????_??6,20090204,8466.4,8483.4,Overall Index,2/3/2009
????_??6,20090207,8451.3,8466.4,Overall Index,2/4/2009
????_??6,20090208,8438,8451.3,Overall Index,2/7/2009
????_??6,20090209,8423.7,8438,Overall Index,2/8/2009
????_??6,20090211,8430,8423.7,Overall Index,2/9/2009
????_??6,20090214,8420,8430,Overall Index,2/11/2009
????_??6,20090215,8412.7,8420,Overall Index,2/14/2009
????_??6,20090217,8390.2,8412.7,Overall Index,2/15/2009
????_??6,20090218,8376.6,8390.2,Overall Index,2/17/2009
????_??6,20090221,8355.9,8376.6,Overall Index,2/18/2009
????_??6,20090222,8297,8355.9,Overall Index,2/21/2009
????_??6,20090223,8266.2,8297,Overall Index,2/22/2009
????_??6,20090225,8248.9,8266.2,Overall Index,2/23/2009
????_??6,20090228,8243.2,8248.9,Overall Index,2/25/2009
????_??6,20090301,8226.8,8243.2,Overall Index,2/28/2009
????_??6,20090302,8216.1,8226.8,Overall Index,3/1/2009
????_??6,20090303,8200.9,8216.1,Overall Index,3/2/2009
????_??6,20090304,8185.3,8200.9,Overall Index,3/3/2009
????_??6,20090307,8133.5,8185.3,Overall Index,3/4/2009
????_??6,20090308,8111.2,8133.5,Overall Index,3/7/2009
????_??6,20090309,8096,8111.2,Overall Index,3/8/2009
????_??6,20090310,8126.5,8096,Overall Index,3/9/2009
????_??6,20090311,8130.4,8126.5,Overall Index,3/10/2009
????_??6,20090314,8120.3,8130.4,Overall Index,3/11/2009
????_??6,20090316,7977.1,8120.3,Overall Index,3/14/2009
????_??6,20090317,7972.3,7977.1,Overall Index,3/16/2009
????_??6,20090318,7966.5,7972.3,Overall Index,3/17/2009
????_??6,20090325,7965.6,7966.5,Overall Index,3/18/2009
????_??6,20090328,7965.8,7965.6,Overall Index,3/25/2009
????_??6,20090329,7955.4,7965.8,Overall Index,3/28/2009
????_??6,20090330,7970.3,7955.4,Overall Index,3/29/2009
????_??6,20090331,7988.7,7970.3,Overall Index,3/30/2009
????_??6,20090404,8001.6,7988.7,Overall Index,3/31/2009
????_??6,20090405,8006,8001.6,Overall Index,4/4/2009
????_??6,20090406,8049,8006,Overall Index,4/5/2009
????_??6,20090407,8077.9,8049,Overall Index,4/6/2009
????_??6,20090408,8111.1,8077.9,Overall Index,4/7/2009
????_??6,20090411,8153.5,8111.1,Overall Index,4/8/2009
????_??6,20090412,8175.9,8153.5,Overall Index,4/11/2009
????_??6,20090413,8203.6,8175.9,Overall Index,4/12/2009
????_??6,20090414,8252.4,8203.6,Overall Index,4/13/2009
????_??6,20090415,8251.6,8252.4,Overall Index,4/14/2009
????_??6,20090418,8290.4,8251.6,Overall Index,4/15/2009
????_??6,20090419,8348,8290.4,Overall Index,4/18/2009
????_??6,20090420,8431.2,8348,Overall Index,4/19/2009
????_??6,20090421,8434.9,8431.2,Overall Index,4/20/2009
????_??6,20090422,8476.4,8434.9,Overall Index,4/21/2009
????_??6,20090425,8469.1,8476.4,Overall Index,4/22/2009
????_??6,20090426,8502.6,8469.1,Overall Index,4/25/2009
????_??6,20090427,8518.1,8502.6,Overall Index,4/26/2009
????_??6,20090428,8527.8,8518.1,Overall Index,4/27/2009
????_??6,20090429,8535,8527.8,Overall Index,4/28/2009
????_??6,20090502,8548.3,8535,Overall Index,4/29/2009
????_??6,20090503,8584.6,8548.3,Overall Index,5/2/2009
????_??6,20090504,8638.3,8584.6,Overall Index,5/3/2009
????_??6,20090505,8699.5,8638.3,Overall Index,5/4/2009
????_??6,20090506,8774.2,8699.5,Overall Index,5/5/2009
????_??6,20090509,8872.4,8774.2,Overall Index,5/6/2009
????_??6,20090510,8930.4,8872.4,Overall Index,5/9/2009
????_??6,20090511,8989.5,8930.4,Overall Index,5/10/2009
????_??6,20090512,8968.3,8989.5,Overall Index,5/11/2009
????_??6,20090513,8932.1,8968.3,Overall Index,5/12/2009
????_??6,20090516,8888,8932.1,Overall Index,5/13/2009
????_??6,20090517,8919.4,8888,Overall Index,5/16/2009
????_??6,20090518,8963.8,8919.4,Overall Index,5/17/2009
????_??6,20090519,8956.3,8963.8,Overall Index,5/18/2009
????_??6,20090520,9000.8,8956.3,Overall Index,5/19/2009
????_??6,20090523,9042.1,9000.8,Overall Index,5/20/2009
????_??6,20090524,9019.5,9042.1,Overall Index,5/23/2009
????_??6,20090525,8971.1,9019.5,Overall Index,5/24/2009
????_??6,20090526,8934.6,8971.1,Overall Index,5/25/2009
????_??6,20090527,8953.7,8934.6,Overall Index,5/26/2009
????_??6,20090530,9001.3,8953.7,Overall Index,5/27/2009
????_??6,20090531,9000.6,9001.3,Overall Index,5/30/2009
????_??6,20090601,9006.3,9000.6,Overall Index,5/31/2009
????_??6,20090602,9032.3,9006.3,Overall Index,6/1/2009
????_??6,20090603,9081.7,9032.3,Overall Index,6/2/2009
????_??6,20090606,9121.3,9081.7,Overall Index,6/3/2009
????_??6,20090607,9195.1,9121.3,Overall Index,6/6/2009
????_??6,20090608,9235.5,9195.1,Overall Index,6/7/2009
????_??6,20090609,9278.5,9235.5,Overall Index,6/8/2009
????_??6,20090610,9343.3,9278.5,Overall Index,6/9/2009
????_??6,20090613,9365.4,9343.3,Overall Index,6/10/2009
????_??6,20090614,9310.3,9365.4,Overall Index,6/13/2009
????_??6,20090615,9299,9310.3,Overall Index,6/14/2009
????_??6,20090616,9271.1,9299,Overall Index,6/15/2009
????_??6,20090617,9247.2,9271.1,Overall Index,6/16/2009
????_??6,20090620,9247.7,9247.2,Overall Index,6/17/2009
????_??6,20090621,9258.4,9247.7,Overall Index,6/20/2009
????_??6,20090622,9251.8,9258.4,Overall Index,6/21/2009
????_??6,20090623,9340,9251.8,Overall Index,6/22/2009
????_??6,20090624,9338.6,9340,Overall Index,6/23/2009
????_??6,20090627,9342.6,9338.6,Overall Index,6/24/2009
????_??6,20090628,9353.7,9342.6,Overall Index,6/27/2009
????_??6,20090629,9360.1,9353.7,Overall Index,6/28/2009
????_??6,20090630,9387.6,9360.1,Overall Index,6/29/2009
????_??6,20090701,9471,9387.6,Overall Index,6/30/2009
????_??6,20090704,9470.4,9471,Overall Index,7/1/2009
????_??6,20090705,9452.7,9470.4,Overall Index,7/4/2009
????_??6,20090707,9457.9,9452.7,Overall Index,7/5/2009
????_??6,20090711,9438.5,9457.9,Overall Index,7/7/2009
????_??6,20090712,9415.8,9438.5,Overall Index,7/11/2009
????_??6,20090713,9352.8,9415.8,Overall Index,7/12/2009
????_??6,20090714,9374,9352.8,Overall Index,7/13/2009
????_??6,20090715,9394.6,9374,Overall Index,7/14/2009
????_??6,20090718,9442.2,9394.6,Overall Index,7/15/2009
????_??6,20090719,9474.5,9442.2,Overall Index,7/18/2009
????_??6,20090721,9511.1,9474.5,Overall Index,7/19/2009
????_??6,20090722,9522.2,9511.1,Overall Index,7/21/2009
????_??6,20090725,9522.9,9522.2,Overall Index,7/22/2009
????_??6,20090726,9530.3,9522.9,Overall Index,7/25/2009
????_??6,20090727,9703.7,9530.3,Overall Index,7/26/2009
????_??6,20090728,9727.1,9703.7,Overall Index,7/27/2009
????_??6,20090729,9765.6,9727.1,Overall Index,7/28/2009
????_??6,20090801,9811.2,9765.6,Overall Index,7/29/2009
????_??6,20090802,9831.2,9811.2,Overall Index,8/1/2009
????_??6,20090803,9835,9831.2,Overall Index,8/2/2009
????_??6,20090804,9861.1,9835,Overall Index,8/3/2009
