تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,1003263,1004566,1008592,1307799119818,1303546
1401/03/06,1002617,1003928,1009612,1306957543559,1303546
1401/03/05,1002345,1003656,1009339,1306882628911,1303825
1401/03/04,1001877,1003183,1009026,1310556798579,1308102
1401/03/03,1001400,1002676,1007575,1312837387931,1311002
1401/03/02,1000903,1002175,1005833,1320010124114,1318819
1401/03/01,1000454,1001735,1007473,1321230866495,1320631
1401/02/31,1000000,1001318,1005163,1320779827213,1320780
1401/02/30,1014975,1016319,1022074,1340558412065,1320780
1401/02/29,1014396,1015740,1021808,1339793931680,1320780
1401/02/28,1013745,1015089,1021543,1338960736411,1320806
1401/02/27,1013152,1014502,1022558,1339086137874,1321703
1401/02/26,1012409,1013754,1016338,1338104621774,1321703
1401/02/25,1011792,1013088,1014149,1339228972820,1323621
1401/02/24,1011255,1012557,1015147,1342491750965,1327550
1401/02/23,1010521,1011828,1015735,1341517701269,1327550
1401/02/22,1010257,1011563,1015383,1342266022122,1328638
1401/02/21,1009619,1010915,1014994,1350659108799,1337791
1401/02/20,1009111,1010407,1013353,1349979545986,1337791
1401/02/19,1008650,1009929,1013730,1353007744703,1341404
1401/02/18,1008148,1009437,1014871,1353318841786,1342381
1401/02/17,1007647,1008923,1012626,1366694696504,1356323
1401/02/16,1006966,1008268,1011117,1365770961464,1356323
1401/02/15,1006710,1008007,1010844,1370994437650,1361856
1401/02/14,1005885,1007181,1010598,1369870047815,1361856
1401/02/13,1005630,1006927,1010343,1369523238789,1361856
1401/02/12,1005376,1006672,1010087,1369653338328,1362330
1401/02/11,1004920,1006236,1009380,1369121395689,1362418
1401/02/10,1004479,1005822,1009386,1374298441460,1368170
1401/02/09,1003869,1005217,1008198,1373463251443,1368170
1401/02/08,1003578,1004926,1007907,1373064366597,1368169
1401/02/07,1003129,1004471,1007669,1378161824057,1373863
1401/02/06,1002666,1004007,1008028,1383967115430,1380287
1401/02/05,1002210,1003553,1007766,1383157345970,1380107
1401/02/04,1001755,1003078,1005370,1390158875005,1387724
1401/02/03,1000937,1002261,1005117,1389024595564,1387724
1401/02/02,1000688,1002011,1004867,1388678555203,1387724
1401/02/01,1000439,1001761,1004615,1389619885887,1389010
1401/01/31,1000000,1001322,1004361,1389251902385,1389252
1401/01/30,1017171,1018493,1022252,1413221568698,1389365
1401/01/29,1016589,1017917,1022505,1412679468832,1389627
1401/01/28,1016082,1017420,1020251,1411977392133,1389630
1401/01/27,1015481,1016809,1018486,1412524384915,1390990
1401/01/26,1014845,1016166,1017158,1411639617677,1390990
1401/01/25,1014395,1015714,1016904,1411909436507,1391874
1401/01/24,1013861,1015180,1016663,1411663651912,1392364
1401/01/23,1013164,1014470,1014449,1412047011505,1393700
1401/01/22,1012727,1014157,1016580,1411518375240,1393780
1401/01/21,1012367,1013798,1016815,1412122953665,1394873
1401/01/20,1011849,1013260,1013834,1416913978807,1400321
1401/01/19,1011139,1012550,1013588,1415918756613,1400321
1401/01/18,1010967,1012377,1013416,1415703140681,1400346
1401/01/17,1010795,1012206,1013245,1414488741438,1399383
1401/01/16,1010474,1011890,1014185,1415818316410,1401143
1401/01/15,1010018,1011422,1012032,1414685936081,1400654
1401/01/14,1009513,1010919,1010399,1414060428205,1400735
1401/01/13,1008296,1009673,1004557,1412354908396,1400735
1401/01/12,1008122,1009499,1004384,1412111882934,1400735
1401/01/11,1007949,1009326,1004211,1411877578802,1400743
1401/01/10,1007603,1008980,1004036,1411342585097,1400693
1401/01/09,1007155,1008536,1000859,1410610826706,1400590
1401/01/08,1006666,1008036,998758,1410083319923,1400746
1401/01/07,1006185,1007538,994567,1410145527827,1401478
1401/01/06,1005742,1007126,991664,1410051408849,1402001
1401/01/05,1003657,1005024,988933,1407127621990,1402001
1401/01/04,1003488,1004856,988765,1406891821953,1402001
1401/01/03,1003320,1004688,988597,1406656294755,1402001
1401/01/02,1003153,1004520,988430,1406421413851,1402001
1401/01/01,1002985,1004353,988262,1406186418142,1402001
1400/12/29,1002818,1004185,988095,1405951685773,1402001
1400/12/28,1002651,1004018,987928,1405717548920,1402001
1400/12/27,1001922,1003275,984967,1404695781843,1402001
1400/12/26,1001755,1003108,984798,1404330740696,1401870
1400/12/25,1001364,1002717,984629,1403591982108,1401680
1400/12/24,1010613,1011970,984005,1416551418295,1401675
1400/12/23,1010087,1011443,983488,1416311780332,1402168
1400/12/22,1000000,1001345,983354,1404020641773,1404021
1400/12/21,1009630,1010987,993211,1417708837689,1404186
1400/12/20,1008805,1010167,993937,1416549690920,1404186
1400/12/19,1008634,1009994,993777,1417393723012,1405261
1400/12/18,1008153,1009511,993633,1419346893800,1407868
1400/12/17,1007598,1008959,991839,1418147430234,1407454
1400/12/16,1007154,1008514,992169,1420150535536,1410063
1400/12/15,1006661,1008031,989245,1420806191049,1411405
1400/12/14,1006224,1007614,983003,1435965626914,1427084
1400/12/13,1005491,1006876,981137,1434919678484,1427084
1400/12/12,1005268,1006652,981019,1436052698835,1428527
1400/12/11,1004828,1006213,980869,1434915780135,1428021
1400/12/10,1004173,1005559,981030,1433980652163,1428021
1400/12/09,1003952,1005336,980918,1435478622649,1429828
1400/12/08,1003510,1004889,979366,1435972785835,1430950
1400/12/07,1003071,1004453,978541,1435958392619,1431562
1400/12/06,1002417,1003801,978818,1435022324212,1431562
1400/12/05,1002195,1003578,978678,1434794030148,1431652
1400/12/04,1001756,1003142,978640,1433718168924,1431205
1400/12/03,1001317,1002694,978146,1438892318718,1437000
1400/12/02,1000876,1002240,978251,1452265441564,1450994
1400/12/01,1000439,1001669,978953,1455204993553,1454567
1400/11/30,1000000,1001231,979273,1457580423087,1457580
1400/11/29,1012984,1014215,992073,1476505069367,1457580
1400/11/28,1012749,1013979,991847,1476834536183,1458244
1400/11/27,1012219,1013445,991677,1480775153432,1462900
