تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,38819,38862,38784,14808698262917,381484042
1401/03/06,38875,38918,38848,14829994136599,381484042
1401/03/05,38864,38906,38838,14825629431420,381484042
1401/03/04,38835,38878,38810,14814928525963,381484042
1401/03/03,38794,38837,38771,14686500508553,378584042
1401/03/02,38776,38820,38753,14222052502475,366784042
1401/03/01,38839,38884,38817,14245210974309,366784042
1401/02/31,38818,38863,38792,14237677920456,366784042
1401/02/30,38783,38829,38761,14224865316882,366784042
1401/02/29,38772,38818,38751,14220868951193,366784042
1401/02/28,38746,38792,38726,14211351005224,366784042
1401/02/27,38731,38777,38666,13973176244687,360784042
1401/02/26,38833,38880,38719,13940305350839,358984042
1401/02/25,38786,38832,38677,13923222441709,358984042
1401/02/24,38763,38810,38661,13915279275795,358984042
1401/02/23,38594,38639,38491,14086127524578,364984042
1401/02/22,38583,38628,38480,14081964159869,364984042
1401/02/21,38572,38617,38470,14078029197746,364984042
1401/02/20,38533,38578,38431,13928819980067,361484042
1401/02/19,38520,38565,38422,13924111652620,361484042
1401/02/18,38571,38617,38480,13811491262487,358084042
1401/02/17,38499,38544,38412,13881804564892,360584042
1401/02/16,38423,38471,38374,13854514884877,360584042
1401/02/15,38411,38459,38363,13850225766690,360584042
1401/02/14,38399,38447,38352,13845922254026,360584042
1401/02/13,38387,38435,38342,13841577456250,360584042
1401/02/12,38361,38408,38316,13832008165666,360584042
1401/02/11,38324,38372,38294,13753661525439,358884042
1401/02/10,38315,38365,38261,13719923244578,358084042
1401/02/09,38349,38399,38259,13701390733677,357284042
1401/02/08,38338,38388,38249,13697355620760,357284042
1401/02/07,38319,38369,38231,13690596016775,357284042
1401/02/06,38242,38292,38300,13777975848761,360284042
1401/02/05,38201,38251,38261,13744037799143,359784042
1401/02/04,38153,38203,38212,13726741960341,359784042
1401/02/03,38175,38224,38237,13734523772198,359784042
1401/02/02,38163,38212,38226,13730269102758,359784042
1401/02/01,38152,38201,38216,13726233005870,359784042
1401/01/31,38135,38184,38200,13720082724461,359784042
1401/01/30,38176,38226,38245,13608826531532,356484042
1401/01/29,38070,38119,38026,13571164674340,356484042
1401/01/28,38008,38056,37970,13548939527424,356484042
1401/01/27,37931,37979,37898,13654197699381,359984042
1401/01/26,37882,37930,37856,13636804430051,359984042
1401/01/25,37870,37919,37845,13632527027477,359984042
1401/01/24,37854,37902,37830,13626571769783,359984042
1401/01/23,37811,37860,37802,13467434564307,356184042
1401/01/22,37898,37947,37839,13498411553225,356184042
1401/01/21,37897,37947,37811,13498096364344,356184042
1401/01/20,37835,37885,37752,13381474620964,353684042
1401/01/19,37786,37835,37706,13364211858058,353684042
1401/01/18,37775,37823,37695,13360081143787,353684042
1401/01/17,37763,37811,37685,13355976531239,353684042
1401/01/16,37809,37861,37647,12718213127988,336384042
1401/01/15,37787,37839,37624,12710878973310,336384042
1401/01/14,37783,37834,37608,12709324486241,336384042
1401/01/13,37686,37736,37541,12676657191627,336384042
1401/01/12,37674,37724,37530,12672611223060,336384042
1401/01/11,37662,37712,37519,12668616403004,336384042
1401/01/10,37642,37692,37501,12662050003014,336384042
1401/01/09,37644,37694,37560,12662657819213,336384042
1401/01/08,37653,37705,37640,12176373566988,323384042
1401/01/07,37572,37624,37560,12150103065457,323384042
1401/01/06,37468,37520,37459,12116542561292,323384042
1401/01/05,37376,37427,37368,12086713932693,323384042
1401/01/04,37365,37415,37357,12083016726252,323384042
1401/01/03,37353,37404,37347,12079283394491,323384042
1401/01/02,37342,37393,37337,12075614233375,323384042
1401/01/01,37331,37382,37327,12072091741228,323384042
1400/12/29,37325,37376,37322,12070197920536,323384042
1400/12/28,37284,37334,37281,12056775162750,323384042
1400/12/27,37168,37218,37169,12019482973778,323384042
1400/12/26,37155,37205,37157,12015251551936,323384042
1400/12/25,37137,37186,37140,12009337129509,323384042
1400/12/24,37023,37071,37059,11972462034112,323384042
1400/12/23,36989,37037,37030,11943013977407,322884042
1400/12/22,36985,37033,37028,11941719950735,322884042
1400/12/21,36992,37040,37038,11869836666521,320884042
1400/12/20,37060,37108,37109,12043765099219,324984042
1400/12/19,37048,37096,37098,12039839169145,324984042
1400/12/18,37036,37084,37087,12035852559210,324984042
1400/12/17,36974,37022,37030,12015819739225,324984042
1400/12/16,36934,36981,36993,12002853992554,324984042
1400/12/15,36884,36932,36945,11986642620661,324984042
1400/12/14,36786,36832,36849,12131280767045,329784042
1400/12/13,36678,36723,36742,12389077152682,337784042
1400/12/12,36666,36710,36731,12384959244802,337784042
1400/12/11,36656,36701,36722,12381624677354,337784042
1400/12/10,36643,36688,36712,12377180957401,337784042
1400/12/09,36631,36675,36701,12373031649587,337784042
1400/12/08,36598,36643,36611,12398682866270,338784042
1400/12/07,36568,36614,36584,12352032649365,337784042
1400/12/06,36599,36645,36615,12362321159604,337784042
1400/12/05,36587,36632,36604,12358184596457,337784042
1400/12/04,36574,36620,36593,12354011411573,337784042
1400/12/03,36535,36581,36556,12340795809304,337784042
1400/12/02,36491,36536,36513,12439050513568,340884042
1400/12/01,36436,36480,36466,12420313254419,340884042
1400/11/30,36403,36446,36436,12591183509775,345884042
1400/11/29,36375,36418,36415,12581446478267,345884042
1400/11/28,36363,36406,36404,12577131954321,345884042
1400/11/27,36350,36393,36392,12572660058826,345884042
1400/11/26,36325,36367,36370,12563914916102,345884042
1400/11/25,36312,36355,36358,12559581055460,345884042
1400/11/24,36235,36278,36284,12533100886472,345884042
1400/11/23,36264,36307,36317,12543117461467,345884042
1400/11/22,36283,36326,36270,12549701446026,345884042
1400/11/21,36270,36312,36258,12544887619121,345884042
1400/11/20,36256,36298,36245,12540120244708,345884042
1400/11/19,36208,36250,36200,12523646920231,345884042
1400/11/18,36181,36223,36176,12514420691514,345884042
1400/11/17,36206,36248,36203,12577257949559,347384042
1400/11/16,36266,36307,36265,12597935135171,347384042
1400/11/15,36181,36222,36184,12568682965828,347384042
1400/11/14,36167,36208,36170,12563656710422,347384042
1400/11/13,36153,36194,36157,12558747763956,347384042
1400/11/12,36128,36168,36135,12485115113060,345584042
1400/11/11,36098,36139,36099,12384630657633,343084042
1400/11/10,35994,36034,35977,12348832332359,343084042
1400/11/09,35923,35962,35912,12443097264614,346384042
1400/11/08,35802,35840,35777,12583718773213,351484042
1400/11/07,35787,35825,35763,12578522639394,351484042
1400/11/06,35772,35810,35749,12573191918651,351484042
1400/11/05,35731,35768,35708,12558574011290,351484042
1400/11/04,35756,35794,35709,12567655875567,351484042
1400/11/03,35804,35843,35753,12566552564218,350984042
1400/11/02,35838,35877,35770,12460156802863,347684042
1400/11/01,35837,35877,35734,12434830073325,346984042
1400/10/30,35823,35862,35721,12429884643349,346984042
1400/10/29,35808,35847,35707,12424511890967,346984042
1400/10/28,35796,35836,35687,12402613135025,346484042
1400/10/27,35839,35879,35733,12399683730740,345984042
1400/10/26,35854,35894,35749,12332985865273,343984042
1400/10/25,35850,35891,35746,12267244062638,342184042
1400/10/24,35874,35915,35773,12250350769770,341484042
1400/10/23,35859,35899,35759,12245169515508,341484042
1400/10/22,35844,35884,35744,12239851273473,341484042
1400/10/21,35833,35873,35736,12236156230350,341484042
1400/10/20,35812,35852,35716,12229042280717,341484042
1400/10/19,35807,35847,35712,12227398475871,341484042
1400/10/18,35826,35864,35738,12251853503589,341984042
1400/10/17,35797,35835,35722,12241885765558,341984042
1400/10/16,35783,35820,35708,12236903348544,341984042
1400/10/15,35768,35805,35694,12231850745346,341984042
1400/10/14,35772,35810,35701,12126107517918,338984042
1400/10/13,35770,35808,35701,12125174149298,338984042
