تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,202886,204049,202886,3041175896325,14989617
1401/03/06,205525,206706,205525,3080737247657,14989617
1401/03/05,205346,206526,205346,3078045547593,14989617
1401/03/04,205544,206724,205544,3081017724297,14989617
1401/03/03,203448,204617,203448,3049607402840,14989617
1401/03/02,203403,204570,203403,3048925123841,14989617
1401/03/01,207464,208662,207464,3109800134411,14989617
1401/02/31,206968,208170,206968,3102368793540,14989617
1401/02/30,208448,209650,208448,3124545830015,14989617
1401/02/29,208627,209829,208627,3127227809532,14989617
1401/02/28,208454,209656,208454,3124640161876,14989617
1401/02/27,208590,209793,208590,3126673277065,14989617
1401/02/26,209510,210721,209510,3140469142806,14989617
1401/02/25,210776,211987,210776,3159436980802,14989617
1401/02/24,211321,212553,211321,3167606253641,14989617
1401/02/23,209959,211178,209959,3147194677505,14989617
1401/02/22,209779,210998,209779,3144503157154,14989617
1401/02/21,209959,211178,209959,3147195599889,14989617
1401/02/20,206532,207730,206532,3095830344836,14989617
1401/02/19,205044,206256,205044,3073518984731,14989617
1401/02/18,207579,208808,207579,3111514962163,14989617
1401/02/17,206016,207250,206016,3088097134689,14989617
1401/02/16,204693,205949,204693,3068260994213,14989617
1401/02/15,204872,206128,204872,3070952484279,14989617
1401/02/14,204694,205950,204694,3068274931035,14989617
1401/02/13,204874,206130,204874,3070974013302,14989617
1401/02/12,204695,205951,204695,3068296725326,14989617
1401/02/11,203625,204885,203625,3052249352507,14989617
1401/02/10,202728,203985,202728,3038809040012,14989617
1401/02/09,202277,203543,202277,3032042039516,14989617
1401/02/08,202098,203364,202098,3029366308263,14989617
1401/02/07,202278,203545,202278,3032067212809,14989617
1401/02/06,202453,203708,202453,3034684528965,14989617
1401/02/05,201164,202412,201164,3015368463581,14989617
1401/02/04,200094,201336,200094,2999327270936,14989617
1401/02/03,200031,201271,200031,2998376728375,14989617
1401/02/02,199852,201092,199852,2995702503999,14989617
1401/02/01,200032,201272,200032,2998397583431,14989617
1401/01/31,199854,201094,199854,2995723560416,14989617
1401/01/30,200071,201311,200071,2998976117562,14989617
