تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,209179,210474,209179,2980831533630,14250152
1401/03/06,215219,216561,215219,3066904503434,14250152
1401/03/05,215195,216537,215195,3066566790539,14250152
1401/03/04,215476,216818,215476,3070559565193,14250152
1401/03/03,211805,213143,211805,3018246916457,14250152
1401/03/02,213179,214533,213179,3037830584754,14250152
1401/03/01,218064,219463,218064,3107441162306,14250152
1401/02/31,216817,218225,216817,3089676444817,14250152
1401/02/30,216701,218116,216701,3088025478190,14250152
1401/02/29,216701,218115,216701,3088019627918,14250152
1401/02/28,216741,218155,216741,3088590208451,14250152
1401/02/27,217564,218928,217564,3100322269514,14250152
1401/02/26,218420,219793,218420,3112513000285,14250152
1401/02/25,217658,219037,217658,3101660807742,14250152
1401/02/24,217776,219157,217776,3103335768422,14250152
1401/02/23,215972,217220,215812,3077634685736,14250152
1401/02/22,215952,217200,215792,3077345182870,14250152
1401/02/21,216240,217649,216240,3081447861098,14250152
1401/02/20,210777,212150,210777,3003603192304,14250152
1401/02/19,206724,208075,206724,2945851185671,14250152
1401/02/18,208968,210334,208968,2977830459787,14250152
1401/02/17,207537,208882,207537,2957437048685,14250152
1401/02/16,204069,205394,204069,2908011431236,14250152
1401/02/15,204071,205396,204071,2908044679217,14250152
1401/02/14,204079,205404,204079,2908160342685,14250152
1401/02/13,204076,205401,204076,2908112679455,14250152
1401/02/12,204187,205513,204187,2909700195661,14250152
1401/02/11,202487,203791,202487,2885477293811,14250152
1401/02/10,201823,203127,201823,2876005364956,14250152
1401/02/09,201085,202374,201085,2865498612676,14250152
1401/02/08,201094,202382,201094,2865623373917,14250152
1401/02/07,201083,202371,201083,2865456644352,14250152
1401/02/06,201430,202730,201430,2870407573954,14250152
1401/02/05,200484,201810,200484,2856934286313,14250152
1401/02/04,200748,202075,200748,2860692123572,14250152
1401/02/03,202079,203412,202079,2879653439252,14250152
1401/02/02,202082,203415,202082,2879699438382,14250152
1401/02/01,202084,203417,202084,2879727399236,14250152
1401/01/31,202140,203473,202140,2880529013780,14250152
1401/01/30,201668,202957,201668,2873800554316,14250152
1401/01/29,198002,199270,198002,2821556294254,14250152
1401/01/28,196162,197437,196162,2795334927754,14250152
1401/01/27,193504,194772,193504,2757464323724,14250152
1401/01/26,192549,193798,192549,2743847777182,14250152
1401/01/25,192512,193761,192512,2743324284780,14250152
1401/01/24,192942,194191,192942,2749454604094,14250152
1401/01/23,187856,189072,187856,2676976005281,14250152
1401/01/22,193480,194757,193480,2757119251545,14250152
1401/01/21,192464,193727,192464,2742634715164,14250152
1401/01/20,189841,191091,189841,2705263930660,14250152
1401/01/19,187296,188528,187296,2669000125826,14250152
1401/01/18,187323,188555,187323,2669378196062,14250152
1401/01/17,187121,188354,187121,2666509023332,14250152
1401/01/16,190009,191242,190009,2707657616662,14250152
1401/01/15,186835,188052,186835,2662430596769,14250152
1401/01/14,188911,190147,188911,2692005224220,14250152
1401/01/13,184812,186019,184812,2633603032380,14250152
1401/01/12,184814,186021,184814,2633628034998,14250152
1401/01/11,184807,186013,184807,2633522720900,14250152
1401/01/10,184940,186147,184940,2635421737721,14250152
1401/01/09,181782,182935,181782,2652232971361,14590152
1401/01/08,182176,183327,182176,2657969911556,14590152
1401/01/07,178574,179707,178574,2605427489141,14590152
1401/01/06,176883,178019,176883,2580756445099,14590152
1401/01/05,175880,177016,175880,2566110234667,14590152
1401/01/04,175885,177021,175885,2566182742931,14590152
1401/01/03,175890,177026,175890,2566259489831,14590152
1401/01/02,175892,177028,175892,2566295159039,14590152
1401/01/01,175901,177037,175901,2566416388319,14590152
1400/12/29,175872,177008,175872,2566005406481,14590152
1400/12/28,176209,177345,176209,2570910167645,14590152
1400/12/27,172245,173352,172245,2513083049719,14590152
1400/12/26,172232,173338,172232,2512888726402,14590152
1400/12/25,172417,173524,172417,2515592262687,14590152
1400/12/24,170617,171703,170617,2489322605683,14590152
1400/12/23,169945,171019,169945,2479523486926,14590152
1400/12/22,170136,171208,170136,2482304423453,14590152
1400/12/21,169708,170756,169708,2476061603204,14590152
1400/12/20,173020,174086,173020,2524386159888,14590152
1400/12/19,173007,174073,173007,2524194984080,14590152
1400/12/18,173192,174258,173192,2526894772423,14590152
1400/12/17,171395,172454,171395,2500685888292,14590152
1400/12/16,171143,172213,171143,2496999080307,14590152
1400/12/15,170912,171992,170912,2493627723583,14590152
1400/12/14,168111,169183,168111,2452766246056,14590152
1400/12/13,164985,166021,164985,2407156092493,14590152
1400/12/12,165004,166040,165004,2407426174654,14590152
1400/12/11,164817,165854,164817,2404710869547,14590152
1400/12/10,166728,167773,166728,2432590132758,14590152
1400/12/09,166886,167931,166886,2434891255257,14590152
1400/12/08,165360,166396,165360,2412623586444,14590152
1400/12/07,164503,165537,164503,2400119489089,14590152
1400/12/06,164890,165931,164890,2405765675985,14590152
1400/12/05,164868,165909,164868,2405453616992,14590152
1400/12/04,165065,166106,165065,2408317770410,14590152
1400/12/03,163152,164183,163152,2380408253614,14590152
1400/12/02,162834,163863,162834,2375766242268,14590152
1400/12/01,161474,162496,161474,2355934525753,14590152
1400/11/30,162096,163122,162096,2365003733371,14590152
1400/11/29,159810,160821,159810,2331650174799,14590152
1400/11/28,159816,160827,159816,2331739521422,14590152
1400/11/27,159822,160833,159822,2331828941726,14590152
1400/11/26,159801,160810,159801,2331517157823,14590152
1400/11/25,159807,160816,159807,2331606579073,14590152
1400/11/24,159185,160205,159185,2322534964857,14590152
1400/11/23,160340,161368,160340,2339383644594,14590152
1400/11/22,161056,162090,161056,2349834068617,14590152
1400/11/21,161063,162096,161063,2349926699215,14590152
1400/11/20,161069,162102,161069,2350019402682,14590152
1400/11/19,159454,160477,159454,2326461165241,14590152
1400/11/18,158258,159279,158258,2309009133856,14590152
1400/11/17,157625,158642,157625,2299768821479,14590152
1400/11/16,162963,164014,162963,2377648478732,14590152
1400/11/15,163737,164792,163737,2388941456257,14590152
1400/11/14,163726,164781,163726,2388784628096,14590152
1400/11/13,163912,164967,163912,2391498255845,14590152
1400/11/12,162130,163173,162130,2365508116503,14590152
1400/11/11,162228,163263,162228,2366932120417,14590152
1400/11/10,159168,160181,159168,2322291936152,14590152
1400/11/09,157739,158752,157739,2301430477835,14590152
1400/11/08,153582,154568,153582,2240789679703,14590152
1400/11/07,153590,154575,153590,2240894180155,14590152
1400/11/06,153597,154583,153597,2240998337124,14590152
1400/11/05,149096,150063,149096,2175328995631,14590152
1400/11/04,151996,152983,151996,2217647503443,14590152
1400/11/03,154491,155495,154491,2254048317865,14590152
1400/11/02,156928,157946,156928,2289607128636,14590152
1400/11/01,158486,159516,158486,2312331987356,14590152
1400/10/30,158493,159524,158493,2312440408357,14590152
1400/10/29,158490,159521,158490,2312400155534,14590152
1400/10/28,157328,158350,157328,2295437585922,14590152
1400/10/27,161395,162431,161395,2354782411612,14590152
1400/10/26,163458,164500,163458,2384875968425,14590152
1400/10/25,164110,165157,164110,2394392858999,14590152
1400/10/24,166853,167921,166853,2434409377037,14590152
1400/10/23,166851,167919,166851,2434379267886,14590152
1400/10/22,166951,168018,166951,2435833248566,14590152
1400/10/21,166033,167120,166033,2422446861467,14590152
1400/10/20,166512,167601,166512,2429429887100,14590152
1400/10/19,164890,165968,164890,2405769170523,14590152
1400/10/18,168159,169253,168159,2453459371573,14590152
1400/10/17,168783,169879,168783,2462565347987,14590152
1400/10/16,168780,169876,168780,2462528026300,14590152
1400/10/15,168869,169965,168869,2463821441903,14590152
1400/10/14,168018,169098,168018,2451407151262,14590152
1400/10/13,169136,170221,169136,2467722463649,14590152
1400/10/12,170114,171204,170114,2481983864920,14590152
1400/10/11,169455,170536,169455,2472372457289,14590152
1400/10/10,171520,172615,171520,2502509563516,14590152
1400/10/09,171549,172645,171549,2502933115037,14590152
1400/10/08,171322,172417,171322,2499614784149,14590152
1400/10/07,173937,175048,173937,2537766579668,14590152
1400/10/06,171929,173027,171929,2508467147031,14590152
1400/10/05,172648,173751,172648,2518963528168,14590152
1400/10/04,171040,172135,171040,2495495630400,14590152
1400/10/03,172745,173856,172745,2520371578076,14590152
1400/10/02,172704,173815,172704,2519771870317,14590152
1400/10/01,173178,174289,173178,2526698499478,14590152
1400/09/30,168496,169572,168496,2458375489994,14590152
1400/09/29,165521,166577,165521,2414982197959,14590152
1400/09/28,162426,163458,162426,2369823422882,14590152
1400/09/27,165154,166199,165154,2409625462064,14590152
1400/09/26,162957,163986,162957,2377564198881,14590152
1400/09/25,162960,163989,162960,2377605325915,14590152
1400/09/24,162989,164018,162989,2378029720983,14590152
1400/09/23,162755,163785,162755,2374622239979,14590152
1400/09/22,162598,163630,162598,2372334553650,14590152
1400/09/21,167144,168197,167144,2438658442906,14590152
1400/09/20,169133,170201,169133,2467675743835,14590152
1400/09/19,172083,173169,172083,2510721304839,14590152
1400/09/18,172069,173155,172069,2510511668299,14590152
1400/09/17,172276,173362,172276,2513535675854,14590152
1400/09/16,170221,171294,170221,2483556252896,14590152
1400/09/15,169963,171034,169963,2479786046327,14590152
1400/09/14,169879,170946,169879,2478557009036,14590152
1400/09/13,168378,169436,168378,2456664449402,14590152
