تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,18459329,18584061,18459329,2259938737236,122428
1401/03/06,18649504,18775531,18649504,2283221448950,122428
1401/03/05,18650284,18776312,18650284,2283317024389,122428
1401/03/04,18648269,18774410,18648269,2281018967300,122318
1401/03/03,18579718,18704587,18579718,2274510556857,122419
1401/03/02,18585435,18712010,18585435,2283387902152,122859
1401/03/01,18928263,19056089,18928263,2327021739343,122939
1401/02/31,18876465,19003568,18876465,2316519776961,122720
1401/02/30,19008927,19136114,19008927,2332775520607,122720
1401/02/29,19009864,19137051,19009864,2332890509765,122720
1401/02/28,19008956,19135719,19008956,2340591750154,123131
1401/02/27,19139920,19268035,19139920,2353482796310,122962
1401/02/26,18999827,19130200,18999827,2336579724109,122979
1401/02/25,18725354,18853766,18725354,2302357129052,122954
1401/02/24,18623077,18750487,18623077,2288980978804,122911
1401/02/23,18018159,18142036,18018159,2214629882737,122911
1401/02/22,18017181,18141058,18017181,2214509679953,122911
1401/02/21,18033437,18157243,18033437,2217788092000,122982
1401/02/20,17624434,17745344,17624434,2168316493281,123029
1401/02/19,17585795,17703558,17585795,2212504087476,125812
1401/02/18,17764824,17886262,17764824,2238048031690,125982
1401/02/17,17764354,17885049,17764354,2238805959590,126028
1401/02/16,17702308,17824474,17702308,2230986493221,126028
1401/02/15,17702953,17825118,17702953,2231067761096,126028
1401/02/14,17703488,17825654,17703488,2231135239185,126028
1401/02/13,17705006,17827172,17705006,2231326529834,126028
1401/02/12,17696894,17819021,17696894,2230994284962,126067
1401/02/11,17717140,17839193,17717140,2237036945374,126264
1401/02/10,17759893,17882522,17759893,2241387279751,126205
1401/02/09,17618725,17739875,17618725,2223571247865,126205
1401/02/08,17618793,17739943,17618793,2223579823691,126205
1401/02/07,17624243,17744894,17624243,2233449782163,126726
1401/02/06,17591326,17712103,17591326,2231670843188,126862
1401/02/05,17600356,17721186,17600356,2235104354970,126992
1401/02/04,17742006,17863359,17742006,2255328280952,127118
1401/02/03,17550295,17670169,17550295,2230958414002,127118
1401/02/02,17550875,17670749,17550875,2231032177648,127118
