تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,33052314,33279632,33052314,4574770864563,138410
1401/03/06,33237220,33465761,33237220,4601393994993,138441
1401/03/05,33237848,33466389,33237848,4601481018193,138441
1401/03/04,33238455,33466996,33238455,4601565010381,138441
1401/03/03,33162221,33394040,33162221,4628219126506,139563
1401/03/02,33183783,33416108,33183783,4644999684517,139978
1401/03/01,33577246,33811770,33577246,4708772370236,140237
1401/02/31,33469123,33702707,33469123,4697324586703,140348
1401/02/30,33702095,33939173,33702095,4732616730394,140425
1401/02/29,33703301,33940379,33703301,4732786162110,140425
1401/02/28,33704508,33941586,33704508,4732955648334,140425
1401/02/27,33855764,34093804,33855764,4755786966410,140472
1401/02/26,34009908,34249195,34009908,4773732812095,140363
1401/02/25,33701832,33937462,33701832,4760754538256,141261
1401/02/24,33617206,33852151,33617206,4750817261144,141321
1401/02/23,32723338,32955020,32723338,4623316847077,141285
1401/02/22,32724336,32956018,32724336,4623457858916,141285
1401/02/21,32725302,32956985,32725302,4623594374294,141285
1401/02/20,32109268,32338794,32109268,4544328407288,141527
1401/02/19,32227289,32457873,32227289,4556197507548,141377
1401/02/18,32460309,32687330,32460309,4694409932568,144620
1401/02/17,32519624,32747017,32519624,4703671009512,144641
1401/02/16,32327636,32554917,32327636,4674931894356,144611
1401/02/15,32328729,32556009,32328729,4675089887295,144611
1401/02/14,32329822,32557102,32329822,4675247948321,144611
1401/02/13,32330915,32558196,32330915,4675406077298,144611
1401/02/12,32332004,32559285,32332004,4675563543845,144611
1401/02/11,32311369,32539056,32311369,4670317599988,144541
1401/02/10,32216996,32445077,32216996,4658609935916,144601
1401/02/09,31972463,32198057,31972463,4639300442161,145103
1401/02/08,31973496,32199090,31973496,4639450259407,145103
1401/02/07,31974529,32200122,31974529,4639600143795,145103
1401/02/06,32124704,32350287,32124704,4683043032587,145777
1401/02/05,32129694,32355077,32129694,4688493523320,145924
1401/02/04,32338609,32565509,32338609,4717394615545,145875
1401/02/03,32091588,32318127,32091588,4671925474163,145581
1401/02/02,32092716,32319256,32092716,4672089759280,145581
1401/02/01,32093845,32320385,32093845,4672254095133,145581
1401/01/31,32094975,32321515,32094975,4672418675172,145581
1401/01/30,32293396,32521066,32293396,4706213523582,145733
1401/01/29,32145395,32372067,32145395,4684002065146,145713
1401/01/28,31290286,31511032,31290286,4559432750211,145714
1401/01/27,31104588,31323727,31104588,4538874902979,145923
1401/01/26,30709347,30921836,30709347,4479111872057,145855
1401/01/25,30710395,30922885,30710395,4479264789677,145855
1401/01/24,30711444,30923934,30711444,4479417757224,145855
1401/01/23,30534246,30744574,30534246,4473114456791,146495
1401/01/22,31446762,31668600,31446762,4594309065257,146098
1401/01/21,30938849,31157093,30938849,4521620051419,146147
1401/01/20,30380382,30594675,30380382,4440396742317,146160
