تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,2268897,2272007,2268897,2487751973928,1095698
1401/03/06,2330148,2333343,2330148,2554911567044,1095698
1401/03/05,2330272,2333466,2330272,2555046844150,1095698
1401/03/04,2330395,2333589,2330395,2555181983427,1095698
1401/03/03,2331659,2334878,2331659,2534325738332,1086160
1401/03/02,2360223,2363479,2360223,2565371440844,1086160
1401/03/01,2459207,2462601,2459207,2672959393008,1086160
1401/02/31,2463791,2467185,2463791,2677938418616,1086160
1401/02/30,2508694,2512151,2508694,2726744967397,1086160
1401/02/29,2508827,2512284,2508827,2726889560241,1086160
1401/02/28,2508963,2512421,2508963,2727037599570,1086160
1401/02/27,2523588,2527070,2523588,2742935856080,1086160
1401/02/26,2573399,2576950,2573399,2797077118903,1086160
1401/02/25,2507333,2510779,2507333,2725260600459,1086160
1401/02/24,2535195,2538658,2535195,2755532678800,1086160
1401/02/23,2562501,2566000,2562501,2744144597288,1070145
1401/02/22,2562650,2566149,2562650,2744303348855,1070145
1401/02/21,2562600,2566099,2562600,2744250544845,1070145
1401/02/20,2514748,2518190,2514748,2693010335619,1070145
1401/02/19,2525192,2528653,2525192,2704197727303,1070145
1401/02/18,2551218,2554729,2551218,2706420885638,1060096
1401/02/17,2498197,2501632,2498197,2650173314576,1060096
1401/02/16,2494306,2497708,2494306,2646030580909,1060096
1401/02/15,2494451,2497852,2494451,2646183747262,1060096
1401/02/14,2494595,2497997,2494595,2646336914455,1060096
1401/02/13,2494740,2498141,2494740,2646490082509,1060096
1401/02/12,2494884,2498285,2494884,2646642810065,1060096
1401/02/11,2487115,2490506,2487115,2638401438741,1060096
1401/02/10,2465964,2469445,2465964,2503376526239,1014446
1401/02/09,2485878,2489391,2485878,2523593925882,1014446
1401/02/08,2486026,2489540,2486026,2523744886686,1014446
1401/02/07,2486138,2489651,2486138,2523857657111,1014446
1401/02/06,2497058,2500572,2497058,2534936527709,1014446
1401/02/05,2450730,2454185,2450730,2487908563660,1014446
1401/02/04,2437477,2440915,2437477,2474455189176,1014446
1401/02/03,2422837,2426252,2422837,2459592255726,1014446
1401/02/02,2422982,2426397,2422982,2459739226889,1014446
1401/02/01,2423126,2426541,2423126,2459885059087,1014446
1401/01/31,2423699,2427114,2423699,2460466656407,1014446
1401/01/30,2395659,2399029,2395659,2431998608612,1014446
1401/01/29,2394802,2398170,2394802,2431127764909,1014446
1401/01/28,2347887,2351187,2347887,2383500403418,1014446
1401/01/27,2320848,2324108,2320848,2356050345677,1014446
1401/01/26,2304234,2307475,2304234,2339186542745,1014446
1401/01/25,2304369,2307610,2304369,2339322907327,1014446
1401/01/24,2304503,2307744,2304503,2339459168163,1014446
1401/01/23,2349668,2352985,2349668,2385315444684,1014446
1401/01/22,2400838,2404238,2400838,2437267767400,1014446
1401/01/21,2350581,2353910,2350581,2386248050509,1014446
1401/01/20,2392594,2395984,2392594,2428899233947,1014446
1401/01/19,2438631,2442089,2438631,2475636399155,1014446
1401/01/18,2438774,2442233,2438774,2475781551478,1014446
1401/01/17,2438917,2442376,2438917,2475926704593,1014446
1401/01/16,2383930,2387305,2383930,2420102630739,1014446
1401/01/15,2408801,2412213,2408801,2445351681325,1014446
1401/01/14,2362446,2365790,2362446,2398291923075,1014446
1401/01/13,2357452,2360790,2357452,2393222830381,1014446
1401/01/12,2357590,2360927,2357590,2393362634025,1014446
1401/01/11,2357676,2361014,2357676,2393450184124,1014446
1401/01/10,2357815,2361152,2357815,2393590400088,1014446
1401/01/09,2287365,2290577,2287365,2322058816484,1014446
1401/01/08,2281081,2284279,2281081,2315676793656,1014446
1401/01/07,2254049,2257208,2254049,2288234435380,1014446
1401/01/06,2247940,2251086,2247940,2282030395932,1014446
1401/01/05,2275262,2278457,2275262,2291515606320,1006428
1401/01/04,2275390,2278585,2275390,2291644787175,1006428
1401/01/03,2275522,2278717,2275522,2291777925592,1006428
1401/01/02,2275655,2278850,2275655,2291911377862,1006428
1401/01/01,2275786,2278981,2275786,2292043772524,1006428
1400/12/29,2275918,2279113,2275918,2292176153249,1006428
1400/12/28,2275362,2278557,2275362,2291616369750,1006428
1400/12/27,2260413,2263583,2260413,2276558978401,1006428
1400/12/26,2260529,2263699,2260529,2276675355150,1006428
1400/12/25,2260646,2263816,2260646,2276793487949,1006428
1400/12/24,2204242,2207330,2204242,2219985349861,1006428
1400/12/23,2133317,2136304,2133317,2148552605985,1006428
1400/12/22,2158012,2161035,2158012,2173424936679,1006428
1400/12/21,2218578,2221689,2218578,2234425093777,1006428
1400/12/20,2243055,2246202,2243055,2259077393046,1006428
1400/12/19,2243156,2246303,2243156,2259178926550,1006428
1400/12/18,2243272,2246419,2243272,2259296231147,1006428
1400/12/17,2259795,2262962,2259795,2275935212722,1006428
1400/12/16,2219190,2222291,2219190,2235035763044,1006428
1400/12/15,2254132,2257278,2254132,2270225495629,1006428
