تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,9087208,9106500,9087208,18174416275770,2000000
1401/03/06,8724553,8743340,8724553,17449106416246,2000000
1401/03/05,8724863,8743650,8724863,17449725289169,2000000
1401/03/04,8725172,8743959,8725172,17450344266601,2000000
1401/03/03,8281998,8300078,8281998,16563995157873,2000000
1401/03/02,7918484,7935960,7918484,15836968155396,2000000
1401/03/01,7753147,7770274,7753147,15506293991002,2000000
1401/02/31,14034020,14067744,14034020,13840168356712,986187
1401/02/30,13590192,13623239,13590192,13402470438476,986187
1401/02/29,13590663,13623711,13590663,13402935031101,986187
1401/02/28,13591134,13624182,13591134,13403399812243,986187
1401/02/27,13424097,13456855,13424097,13238669556259,986187
1401/02/26,13300406,13332926,13300406,13116687003528,986187
1401/02/25,13286195,13303370,13286195,13102672308580,986187
1401/02/24,13153885,13170839,13153885,12972190725621,986187
1401/02/23,12644586,12661195,12644586,12469926255235,986187
1401/02/22,12644755,12661365,12644755,12470093394508,986187
1401/02/21,12644925,12661534,12644925,12470260719728,986187
1401/02/20,12381424,12397699,12381424,12210399311821,986187
1401/02/19,12211503,12227936,12211503,12042825572177,986187
1401/02/18,12292762,12309420,12292762,12026254692719,978320
1401/02/17,12160558,12177015,12160558,11896916645641,978320
1401/02/16,12051229,12067500,12051229,11789958485087,978320
1401/02/15,12051393,12067663,12051393,11790118497754,978320
1401/02/14,12051553,12067824,12051553,11790275285413,978320
1401/02/13,12051717,12067987,12051717,11790435664570,978320
1401/02/12,12051881,12068152,12051881,11790596226439,978320
1401/02/11,11975766,11991967,11975766,11716131762161,978320
1401/02/10,11980525,11996747,11980525,11720787164043,978320
1401/02/09,11849892,11865953,11849892,11592986263746,978320
1401/02/08,11850053,11866114,11850053,11593143755884,978320
1401/02/07,11850214,11866275,11850214,11593301428969,978320
1401/02/06,11899667,11915739,11899667,11641682534278,978320
1401/02/05,11923184,11939303,11923184,11664689260314,978320
1401/02/04,11893264,11909328,11893264,11635418499829,978320
1401/02/03,11851603,11867573,11851603,11594660353580,978320
1401/02/02,11851726,11867696,11851726,11594780669609,978320
1401/02/01,11851849,11867820,11851849,11594901214472,978320
1401/01/31,11886612,11902505,11886612,11685359848639,983069
1401/01/30,11592193,11607665,11592193,11395925540552,983069
1401/01/29,11510687,11526010,11510687,11315799629355,983069
1401/01/28,11099854,11114568,11099854,10911922259312,983069
1401/01/27,10965034,10979662,10965034,10779385486501,983069
1401/01/26,10878827,10893314,10878827,10694637655479,983069
1401/01/25,10878924,10893411,10878924,10694732675152,983069
1401/01/24,10879244,10893938,10879244,10544838102298,969262
1401/01/23,10778167,10792669,10778167,10446867887000,969262
1401/01/22,10898371,10912998,10898371,10563376672715,969262
1401/01/21,10862666,10877335,10862666,10528769296550,969262
1401/01/20,10760634,10775156,10760634,10429873209077,969262
1401/01/19,10746070,10760580,10746070,10415757120414,969262
1401/01/18,10746138,10760649,10746138,10415823539845,969262
1401/01/17,10745204,10759715,10745204,10414918333153,969262
1401/01/16,10685876,10700258,10685876,10357413998310,969262
1401/01/15,10687633,10701996,10687633,10359116814411,969262
1401/01/14,10623197,10637513,10623197,10296661472142,969262
1401/01/13,10317487,10331493,10317487,10000348268410,969262
1401/01/12,10317563,10331569,10317563,10000421923793,969262
1401/01/11,10317639,10331645,10317639,10000495807809,969262
1401/01/10,10317716,10331722,10317716,10000569920027,969262
1401/01/09,10200497,10214406,10200497,9886954489600,969262
1401/01/08,10187707,10201612,10187707,9874557098833,969262
1401/01/07,10037190,10050911,10037190,9728667001633,969262
1401/01/06,10005870,10019556,10005870,9698309558814,969262
1401/01/05,9962753,9976380,9962753,9656517637872,969262
1401/01/04,9962824,9976451,9962824,9656586425966,969262
1401/01/03,9962895,9976522,9962895,9656655439300,969262
1401/01/02,9962966,9976594,9962966,9656724677450,969262
1401/01/01,9963038,9976665,9963038,9656794140000,969262
1400/12/29,9963113,9976740,9963113,9656867086477,969262
1400/12/28,9959460,9973087,9959460,9653326332625,969262
1400/12/27,9877134,9890611,9877134,9573530764152,969262
1400/12/26,9877219,9890697,9877219,9573613480313,969262
1400/12/25,9877305,9890782,9877305,9573696418795,969262
1400/12/24,9935781,9949329,9935781,9630375373830,969262
1400/12/23,9962732,9976589,9962732,9506977333516,954254
1400/12/22,9889480,9903193,9889480,9437075674812,954254
1400/12/21,9925001,9938877,9925001,9470972125587,954254
1400/12/20,9977108,9991144,9977108,9520695514387,954254
1400/12/19,9977340,9991376,9977340,9520916493513,954254
1400/12/18,9977572,9991608,9977572,9521137529060,954254
1400/12/17,9948029,9962011,9948029,9492946663844,954254
1400/12/16,9953373,9967340,9953373,9498045958446,954254
1400/12/15,9775019,9788780,9775019,9327851373892,954254
1400/12/14,9685918,9699696,9685918,9144145850091,944066
1400/12/13,9687771,9701525,9687771,9145895318783,944066
1400/12/12,9687978,9701733,9687978,9146091053365,944066
1400/12/11,9688186,9701940,9688186,9146286843674,944066
1400/12/10,9675774,9689558,9675774,9134569396614,944066
1400/12/09,9676032,9689817,9676032,9134813154517,944066
1400/12/08,9641203,9654927,9641203,9101931979839,944066
1400/12/07,9636003,9649649,9636003,9097023242446,944066
1400/12/06,9608748,9622281,9608748,9071292638863,944066
1400/12/05,9609002,9622535,9609002,9071532070741,944066
1400/12/04,9610885,9624450,9610885,9051771675709,941825
1400/12/03,9590801,9604292,9590801,9032855706489,941825
1400/12/02,9536433,9549753,9536433,8981651099316,941825
1400/12/01,9530579,9543878,9530579,8976137678099,941825
1400/11/30,9553363,9566681,9553363,8997596267835,941825
1400/11/29,9559673,9572994,9559673,9003538583182,941825
1400/11/28,9559922,9573244,9559922,9003773832459,941825
1400/11/27,9558595,9572217,9558595,8804011227240,921057
1400/11/26,9530908,9544460,9530908,8778509625357,921057
1400/11/25,9531162,9544714,9531162,8778743703215,921057
1400/11/24,9504685,9518175,9504685,8754357086644,921057
1400/11/23,9465974,9479338,9465974,8718701888998,921057
1400/11/22,9506985,9520388,9506985,8756475437502,921057
1400/11/21,9507237,9520639,9507237,8756707007628,921057
1400/11/20,9507488,9520891,9507488,8756938568673,921057
1400/11/19,9477005,9490342,9477005,8728861717205,921057
1400/11/18,9443679,9457077,9443679,8597431093079,910390
1400/11/17,9440574,9453970,9440574,8534892139125,904065
1400/11/16,9680574,9694141,9680574,8751868059528,904065
1400/11/15,9683367,9696893,9683367,8754392771057,904065
1400/11/14,9683600,9697126,9683600,8754603413255,904065
1400/11/13,9683836,9697363,9683836,8754817296133,904065
1400/11/12,9707235,9720749,9707235,8775971753136,904065
1400/11/11,9694402,9707855,9694402,8764369443946,904065
1400/11/10,9657773,9671143,9657773,8731254513088,904065
1400/11/09,9511826,9524946,9511826,8599309065210,904065
1400/11/08,9304071,9316954,9304071,8411485203603,904065
1400/11/07,9304296,9317179,9304296,8411688615499,904065
1400/11/06,9304521,9317404,9304521,8411892048429,904065
1400/11/05,9096902,9109402,9096902,8224190587844,904065
1400/11/04,9314658,9327294,9314658,8421056362063,904065
1400/11/03,9303136,9316017,9303136,8298304426914,891990
1400/11/02,9508829,9521874,9508829,8481779955786,891990
1400/11/01,9507367,9520389,9507367,8480476673711,891990
1400/10/30,9507586,9520607,9507586,8480671309560,891990
1400/10/29,9502405,9515427,9502405,8476050592737,891990
1400/10/28,9506534,9519542,9506534,8479733093303,891990
1400/10/27,9687789,9700935,9687789,8641410755415,891990
1400/10/26,9718429,9731563,9718429,8668741838804,891990
1400/10/25,9776455,9789624,9776455,8720499715331,891990
1400/10/24,9807644,9820863,9807644,8748320605706,891990
1400/10/23,9807866,9821085,9807866,8748518661003,891990
1400/10/22,9808088,9821307,9808088,8748716746744,891990
1400/10/21,9831110,9844374,9831110,8769251846258,891990
1400/10/20,9839185,9852437,9839185,8776454653629,891990
1400/10/19,9871994,9885287,9871994,8805720309840,891990
1400/10/18,10000220,10013648,10000220,8920096393917,891990
1400/10/17,10050602,10064104,10050602,8965036276920,891990
1400/10/16,10050830,10064332,10050830,8965239451632,891990
1400/10/15,10051057,10064560,10051057,8965442656358,891990
1400/10/14,10061652,10075156,10061652,8974893221228,891990
1400/10/13,10122616,10136170,10122616,9029272011656,891990
1400/10/12,10143083,10156658,10143083,9047528265120,891990
1400/10/11,10173169,10186771,10173169,9074365372036,891990
1400/10/10,10284822,10298527,10284822,9173958255565,891990
1400/10/09,10285054,10298759,10285054,9174164939417,891990
1400/10/08,10285285,10298991,10285285,9174371652862,891990
1400/10/07,10305850,10319601,10305850,9192714731383,891990
1400/10/06,10298070,10311836,10298070,9185775071328,891990
1400/10/05,10229196,10242853,10229196,9124340334220,891990
1400/10/04,10242398,10256053,10242398,9136116771322,891990
1400/10/03,10134046,10147550,10134046,9039468128961,891990
1400/10/02,10134275,10147778,10134275,9039671738596,891990
1400/10/01,10134503,10148006,10134503,9039875377411,891990
1400/09/30,9913540,9926824,9913540,8842778703833,891990
1400/09/29,9864854,9878075,9864854,8799350996327,891990
1400/09/28,9733214,9746188,9733214,8681929562937,891990
1400/09/27,9763011,9776003,9763011,8708508572153,891990
1400/09/26,9755895,9768865,9755895,8702160656242,891990
1400/09/25,9756115,9769085,9756115,8702356969220,891990
1400/09/24,9756335,9769305,9756335,8702553310972,891990
1400/09/23,9756751,9769680,9756751,8702923940663,891990
1400/09/22,9743205,9756109,9743205,8690841313301,891990
1400/09/21,9899599,9912655,9899599,8830343250320,891990
1400/09/20,9976558,9989715,9976558,8898990048274,891990
1400/09/19,9988043,10001192,9988043,8909234093584,891990
1400/09/18,9988266,10001416,9988266,8909433528132,891990
1400/09/17,9988490,10001640,9988490,8909632991057,891990
1400/09/16,9917175,9930194,9917175,8846021230210,891990
1400/09/15,9891556,9904549,9891556,8823169032413,891990
1400/09/14,9858409,9871298,9858409,8793602607984,891990
1400/09/13,9811602,9824429,9811602,8751851254706,891990
1400/09/12,9860496,9873372,9860496,8795463724195,891990
1400/09/11,9860715,9873591,9860715,8795658885655,891990
1400/09/10,9860934,9873809,9860934,8795854143878,891990
1400/09/09,9904480,9917389,9904480,8834697246069,891990
1400/09/08,9928817,9941728,9928817,8856405541920,891990
1400/09/07,9919318,9932185,9919318,8847932888744,891990
1400/09/06,9973909,9986909,9973909,8840523773659,886365
