تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,12068738,12087054,12068738,34319462693996,2843666
1401/03/06,12135865,12154439,12135865,34158942391183,2814710
1401/03/05,12136527,12155101,12136527,34160806489317,2814710
1401/03/04,12137190,12155763,12137190,34162670626707,2814710
1401/03/03,12221695,12240548,12221695,33895343665106,2773375
1401/03/02,12272611,12291355,12272611,34013713311776,2771514
1401/03/01,12388580,12407257,12388580,34278038108610,2766906
1401/02/31,12372113,12391150,12372113,33517762873423,2709138
1401/02/30,12456311,12475442,12456311,33745866028613,2709138
1401/02/29,12456993,12476124,12456993,33747713981131,2709138
1401/02/28,12457675,12476806,12457675,33749561972905,2709138
1401/02/27,12491461,12510213,12491461,33841094078819,2709138
1401/02/26,12130856,12149135,12130856,32724537884799,2697628
1401/02/25,11932613,11950751,11932613,31987841747678,2680707
1401/02/24,12065656,12083971,12065656,32238564500523,2671928
1401/02/23,12099460,12117854,12099460,32073395254019,2650812
1401/02/22,12100115,12118509,12100115,32075131165546,2650812
1401/02/21,12100770,12119164,12100770,32076867116813,2650812
1401/02/20,12051529,12069861,12051529,31821291641904,2640436
1401/02/19,12152262,12170790,12152262,31754749368262,2613073
1401/02/18,12268735,12287365,12268735,32059101732346,2613073
1401/02/17,12285920,12304946,12285920,31476872932255,2562028
1401/02/16,12320313,12339296,12320313,31398356292081,2548503
1401/02/15,12320989,12339972,12320989,31400078582602,2548503
1401/02/14,12321665,12340648,12321665,31401800912864,2548503
1401/02/13,12322341,12341324,12322341,31403523282867,2548503
1401/02/12,12323016,12342000,12323016,31405245692613,2548503
1401/02/11,12275064,12293723,12275064,31083347095446,2532235
1401/02/10,12407806,12426566,12407806,31419482903276,2532235
1401/02/09,12475898,12495327,12475898,30570905428500,2450397
1401/02/08,12476590,12496019,12476590,30572599926302,2450397
1401/02/07,12477282,12496710,12477282,30574294463848,2450397
1401/02/06,12460606,12480187,12460606,29585516111141,2374324
1401/02/05,12409398,12429028,12409398,28879114455354,2327197
1401/02/04,12325824,12344990,12325824,28684621958655,2327197
1401/02/03,12446796,12466347,12446796,28246846059278,2269407
1401/02/02,12447490,12467042,12447490,28248422815003,2269407
1401/02/01,12448185,12467737,12448185,28249999610467,2269407
1401/01/31,12448880,12468431,12448880,28251575370074,2269407
1401/01/30,12431885,12451544,12431885,27463103867441,2209086
1401/01/29,12416005,12435179,12416005,27428024041860,2209086
1401/01/28,12265096,12284017,12265096,27094653413278,2209086
1401/01/27,12265278,12284640,12265278,26134254281452,2130751
1401/01/26,12130358,12149241,12130358,25846773882171,2130751
1401/01/25,12131028,12149910,12131028,25848200231516,2130751
1401/01/24,12131697,12150579,12131697,25849626620602,2130751
1401/01/23,11947788,11966227,11947788,25457761792431,2130751
1401/01/22,12532409,12551584,12532409,26703445122207,2130751
1401/01/21,12533090,12552264,12533090,26704894304085,2130751
1401/01/20,12450309,12469358,12450309,26528509913892,2130751
1401/01/19,12567548,12586527,12567548,26778315828674,2130751
1401/01/18,12568221,12587200,12568221,26779749999386,2130751
1401/01/17,12568894,12587873,12568894,26781184209839,2130751
1401/01/16,12716935,12735996,12716935,27096623732867,2130751
1401/01/15,12750394,12769474,12750394,27167914807520,2130751
1401/01/14,12881152,12900361,12881152,27446528414055,2130751
1401/01/13,12308772,12327230,12308772,26226928415634,2130751
1401/01/12,12309426,12327884,12309426,26228322362739,2130751
1401/01/11,12310080,12328539,12310080,26229716349585,2130751
1401/01/10,12310734,12329193,12310734,26231110376170,2130751
1401/01/09,12262285,12280669,12262285,26127876350858,2130751
1401/01/08,12393880,12412461,12393880,26408272972887,2130751
1401/01/07,12492746,12511476,12492746,26618932859444,2130751
1401/01/06,12410192,12429055,12410192,26083172638871,2101754
1401/01/05,11909094,11927348,11909094,24839668667072,2085773
1401/01/04,11909741,11927994,11909741,24841017067875,2085773
1401/01/03,11910387,11928641,11910387,24842365508418,2085773
1401/01/02,11911034,11929287,11911034,24843713988700,2085773
1401/01/01,11911680,11929934,11911680,24845062508724,2085773
1400/12/29,11912327,11930580,11912327,24846411068489,2085773
1400/12/28,11912974,11931227,11912974,24847760216889,2085773
1400/12/27,11612623,11630424,11612623,24221296607935,2085773
1400/12/26,11613253,11631054,11613253,24222610519206,2085773
1400/12/25,11613883,11631684,11613883,24223924470310,2085773
1400/12/24,11463976,11481556,11463976,23904455377073,2085180
1400/12/23,11448042,11465453,11448042,23871228690418,2085180
1400/12/22,11448734,11465884,11448734,23872672278596,2085180
1400/12/21,11465644,11483025,11465644,23620661300133,2060125
1400/12/20,11796923,11814801,11796923,24303136061672,2060125
1400/12/19,11797553,11815432,11797553,24304435886557,2060125
1400/12/18,11798184,11816063,11798184,24305735752967,2060125
1400/12/17,11798586,11816688,11798586,24005923658931,2034644
1400/12/16,11765571,11783657,11765571,23613479071957,2006998
1400/12/15,11616926,11634562,11616926,23315147941558,2006998
1400/12/14,11353158,11370368,11353158,22785766700422,2006998
1400/12/13,11009564,11026104,11009564,22013602133599,1999498
1400/12/12,11010146,11026686,11010146,22014765242235,1999498
1400/12/11,11010727,11027267,11010727,22015928392396,1999498
