تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,1821154,1823748,1821154,1646241618273,903955
1401/03/06,1799254,1801815,1799254,1626444339670,903955
1401/03/05,1799340,1801901,1799340,1626522314567,903955
1401/03/04,1801295,1803870,1801295,1619600366739,899131
1401/03/03,1743134,1745640,1743134,1567306069829,899131
1401/03/02,1721233,1723713,1721233,1547613501466,899131
1401/03/01,1750615,1753125,1750615,1574032521305,899131
1401/02/31,1758079,1760600,1758079,1580743240419,899131
1401/02/30,1718062,1720534,1718062,1544762690997,899131
1401/02/29,1718097,1720569,1718097,1544794337445,899131
1401/02/28,1718180,1720653,1718180,1544869292703,899131
1401/02/27,1717648,1720117,1717648,1544390677870,899131
1401/02/26,1716816,1719290,1716816,1543642547185,899131
1401/02/25,1679455,1681890,1679455,1510050111625,899131
1401/02/24,1672439,1674867,1672439,1503741996116,899131
1401/02/23,1625455,1627812,1625455,1461496602888,899131
1401/02/22,1625535,1627892,1625535,1461569061276,899131
1401/02/21,1625616,1627973,1625616,1461641520399,899131
1401/02/20,1581614,1583909,1581614,1422078287022,899131
1401/02/19,1599924,1602243,1599924,1438541498393,899131
1401/02/18,1617516,1619853,1617516,1454359044184,899131
1401/02/17,1609576,1611897,1609576,1447219246370,899131
1401/02/16,1631187,1633539,1631187,1466650751483,899131
1401/02/15,1631287,1633639,1631287,1466740428538,899131
1401/02/14,1631386,1633739,1631386,1466830109331,899131
1401/02/13,1631486,1633839,1631486,1466919793861,899131
1401/02/12,1631586,1633938,1631586,1467009475023,899131
1401/02/11,1616456,1618793,1616456,1453406047527,899131
1401/02/10,1647432,1649738,1647432,1485270311337,901567
1401/02/09,1647406,1649710,1647406,1485247025785,901567
1401/02/08,1647505,1649809,1647505,1485336424538,901567
1401/02/07,1608609,1610918,1608609,1447133625252,899618
1401/02/06,1620582,1622909,1620582,1457904786084,899618
1401/02/05,1666911,1669226,1666911,1513116355438,907737
1401/02/04,1633495,1635767,1633495,1482783589717,907737
1401/02/03,1647658,1649947,1647658,1495640299768,907737
1401/02/02,1647757,1650046,1647757,1495729991061,907737
1401/02/01,1647856,1650145,1647856,1495819684879,907737
1401/01/31,1647955,1650244,1647955,1495909381224,907737
1401/01/30,1508894,1510898,1508894,1583683504155,1049566
1401/01/29,1508279,1510279,1508279,1582911226504,1049482
1401/01/28,1488770,1491347,1488770,1562437332805,1049482
1401/01/27,1478358,1480906,1478358,1551510226269,1049482
1401/01/26,1460752,1463561,1460752,1533032538736,1049482
1401/01/25,1460838,1463648,1460838,1533123691678,1049482
1401/01/24,1460925,1463735,1460925,1533214847629,1049482
1401/01/23,1448182,1450995,1448182,1519840486716,1049482
1401/01/22,1468211,1471075,1468211,1540861439226,1049482
1401/01/21,1438631,1441435,1438631,1509816995753,1049482
1401/01/20,1402656,1405407,1402656,1472062458548,1049482
1401/01/19,1401469,1404220,1401469,1470816652561,1049482
1401/01/18,1401553,1404303,1401553,1470904328358,1049482
1401/01/17,1401636,1404387,1401636,1470992007159,1049482
1401/01/16,1364206,1366880,1364206,1431709244144,1049482
1401/01/15,1365792,1368457,1365792,1433374480169,1049482
1401/01/14,1384644,1387358,1384644,1453159073278,1049482
1401/01/13,1354765,1357413,1354765,1421801224835,1049482
1401/01/12,1354846,1357494,1354846,1421885977037,1049482
1401/01/11,1352544,1355193,1352544,1419470751727,1049482
1401/01/10,1352625,1355273,1352625,1419555529557,1049482
1401/01/09,1343313,1345969,1343313,1409783046375,1049482
1401/01/08,1315840,1318484,1315840,1380950871121,1049482
1401/01/07,1285102,1287698,1285102,1348690917873,1049482
1401/01/06,1277265,1279495,1277265,1340466609799,1049482
1401/01/05,1271770,1273581,1271770,1334699748740,1049482
1401/01/04,1271847,1273658,1271847,1334780320925,1049482
1401/01/03,1271924,1273735,1271924,1334860896252,1049482
1401/01/02,1272000,1273812,1272000,1334941474722,1049482
1401/01/01,1272077,1273888,1272077,1335022056332,1049482
1400/12/29,1272102,1273913,1272102,1335047632282,1049482
1400/12/28,1272159,1273970,1272159,1335108226681,1049482
1400/12/27,1244051,1245825,1244051,1305609164812,1049482
1400/12/26,1244111,1245885,1244111,1305672132795,1049482
1400/12/25,1244171,1245945,1244171,1305735099802,1049482
1400/12/24,1225304,1227052,1225304,1285934230937,1049482
1400/12/23,1236431,1238193,1236431,1297612411674,1049482
1400/12/22,1242873,1244639,1242873,1304372714139,1049482
1400/12/21,1249146,1250939,1249146,1310956230721,1049482
1400/12/20,1264820,1266632,1264820,1327405737645,1049482
1400/12/19,1264880,1266692,1264880,1327469118496,1049482
1400/12/18,1264941,1266753,1264941,1327532502481,1049482
1400/12/17,1264930,1266733,1264930,1327521396117,1049482
1400/12/16,1274919,1276742,1274919,1338004272054,1049482
1400/12/15,1266768,1268607,1266768,1329450297391,1049482
1400/12/14,1279443,1281302,1279443,1342752902943,1049482
1400/12/13,1271695,1273534,1271695,1334620990777,1049482
1400/12/12,1271754,1273593,1271754,1334683192636,1049482
1400/12/11,1269431,1271270,1269431,1332245438947,1049482
1400/12/10,1266857,1268712,1266857,1329544020705,1049482
1400/12/09,1266917,1268772,1266917,1329606851817,1049482
1400/12/08,1265850,1267701,1265850,1328486990881,1049482
1400/12/07,1261980,1263804,1261980,1324425305322,1049482
1400/12/06,1260477,1262297,1260477,1322848073403,1049482
1400/12/05,1260536,1262357,1260536,1322910317075,1049482
1400/12/04,1251658,1253479,1251658,1312985793535,1048997
1400/12/03,1242828,1244644,1242828,1303722510084,1048997
1400/12/02,1241433,1243253,1241433,1302259747537,1048997
1400/12/01,1218467,1220242,1218467,1278168281804,1048997
1400/11/30,1237551,1239361,1237551,1298187260121,1048997
1400/11/29,1260280,1262133,1260280,1322030008008,1048997
1400/11/28,1260339,1262193,1260339,1322092307002,1048997
1400/11/27,1260399,1262252,1260399,1322154611574,1048997
1400/11/26,1271879,1273750,1271879,1334197639656,1048997
1400/11/25,1271939,1273810,1271939,1334260681227,1048997
1400/11/24,1272707,1274580,1272707,1335066260759,1048997
1400/11/23,1276070,1277947,1276070,1338593279366,1048997
1400/11/22,1270324,1272194,1270324,1332565848238,1048997
1400/11/21,1270384,1272255,1270384,1332629047467,1048997
1400/11/20,1272000,1273881,1272000,1326692250500,1042997
1400/11/19,1273597,1275463,1273597,1328358335963,1042997
1400/11/18,1248328,1250160,1248328,1302002045199,1042997
1400/11/17,1240983,1242810,1240983,1294342035041,1042997
1400/11/16,1264625,1266486,1264625,1319000371324,1042997
1400/11/15,1280643,1282516,1280643,1335707123848,1042997
1400/11/14,1280705,1282578,1280705,1335771852536,1042997
1400/11/13,1280767,1282640,1280767,1335836586764,1042997
1400/11/12,1264174,1266034,1264174,1317954758832,1042542
1400/11/11,1260887,1262748,1260887,1314527455320,1042542
1400/11/10,1196840,1198607,1196840,1322981257626,1105395
1400/11/09,1210045,1211819,1210045,1337578033411,1105395
1400/11/08,1213441,1215236,1213441,1341331272455,1105395
1400/11/07,1213502,1215297,1213502,1341398564625,1105395
1400/11/06,1213562,1215358,1213562,1341465860719,1105395
1400/11/05,1194182,1195947,1194182,1320042732367,1105395
1400/11/04,1218299,1220092,1218299,1346702125673,1105395
1400/11/03,1238004,1239816,1238004,1368483932673,1105395
1400/11/02,1235932,1237742,1235932,1365921079325,1105175
1400/11/01,1227378,1229182,1227378,1356467998133,1105175
1400/10/30,1227440,1229244,1227440,1356535547113,1105175
1400/10/29,1227445,1229249,1227445,1356541085317,1105175
1400/10/28,1237982,1239782,1237982,1368186648918,1105175
1400/10/27,1249683,1252167,1249683,1381118887520,1105175
1400/10/26,1238858,1241326,1238858,1369155388496,1105175
1400/10/25,1235384,1237862,1235384,1365315260832,1105175
1400/10/24,1243026,1245513,1243026,1373761352436,1105175
1400/10/23,1243089,1245576,1243089,1373830746522,1105175
1400/10/22,1243152,1245639,1243152,1373900144499,1105175
1400/10/21,1230668,1233142,1230668,1360103069948,1105175
1400/10/20,1213755,1216225,1213755,1341411933980,1105175
1400/10/19,1211199,1213677,1211199,1338587372302,1105175
1400/10/18,1247090,1249630,1247090,1378252792476,1105175
1400/10/17,1254092,1256634,1254092,1385990628622,1105175
1400/10/16,1254325,1256867,1254325,1386248289997,1105175
1400/10/15,1254388,1256930,1254388,1386317857248,1105175
1400/10/14,670497,671764,670497,1493188359852,2226988
1400/10/13,682633,683920,682633,1520216374673,2226988
1400/10/12,678615,679965,678615,1511268103820,2226988
1400/10/11,678897,680250,678897,1511896322830,2226988
1400/10/10,689945,691318,689945,1536499504752,2226988
1400/10/09,689981,691355,689981,1536580161397,2226988
1400/10/08,687843,689216,687843,1531663709193,2226765
1400/10/07,685209,686577,685209,1525798995258,2226765
1400/10/06,672506,673686,672506,1730809378265,2573671
1400/10/05,659732,660877,659732,1697931934991,2573671
1400/10/04,462572,464039,462572,1827668573832,3951098
1400/10/03,464887,466354,464887,1836815764020,3951098
1400/10/02,464911,466378,464911,1836908177607,3951098
1400/10/01,464934,466401,464934,1837000598231,3951098
1400/09/30,459912,460787,459912,1817156424577,3951098
1400/09/29,458680,459543,458680,1812287615881,3951097
1400/09/28,463533,464408,463533,1831465112045,3951097
1400/09/27,472944,473838,472944,1868546105034,3950884
1400/09/26,466353,467233,466353,1842506503716,3950884
1400/09/25,466376,467256,466376,1842597857799,3950884
1400/09/24,466401,467282,466401,1842697853785,3950884
1400/09/23,466403,467293,466403,1842705266124,3950884
1400/09/22,463605,464315,463605,1831648357719,3950884
1400/09/21,470388,471104,470388,1858449395845,3950884
1400/09/20,471655,472373,471655,1863454711308,3950883
1400/09/19,467374,468084,467374,1846539591556,3950883
1400/09/18,467400,468110,467400,1846641379374,3950883
