تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,933687,933909,933687,909891505496,974514
1401/03/06,936739,936965,936739,912865252287,974514
1401/03/05,936770,936997,936770,912895861193,974514
1401/03/04,936802,937028,936802,912926920394,974514
1401/03/03,933104,933324,933104,909322705928,974514
1401/03/02,930826,931043,930826,907103148869,974514
1401/03/01,938656,938884,938656,914733185114,974514
1401/02/31,944006,944242,944006,919946923191,974514
1401/02/30,946033,946272,946033,921922637638,974514
1401/02/29,946065,946305,946065,921953986318,974514
1401/02/28,946098,946337,946098,921985328120,974514
1401/02/27,954977,955220,954977,930638243716,974514
1401/02/26,961952,962196,961952,937435652577,974514
1401/02/25,953075,953316,953075,928784450586,974514
1401/02/24,952251,952491,952251,927982282424,974514
1401/02/23,943568,943805,943568,919520581415,974514
1401/02/22,943601,943837,943601,919552074163,974514
1401/02/21,943633,943869,943633,919583559905,974514
1401/02/20,943311,943546,943311,919269522265,974514
1401/02/19,939443,939673,939443,915500294949,974514
1401/02/18,946923,947156,946923,922790161668,974514
1401/02/17,955618,955854,955618,931262849499,974514
1401/02/16,957449,957688,957449,933047005729,974514
1401/02/15,957476,957715,957476,933073812279,974514
1401/02/14,957504,957743,957504,933100613761,974514
1401/02/13,957531,957770,957531,933127410175,974514
1401/02/12,957559,957798,957559,933154201517,974514
1401/02/11,950396,950628,950396,926174021435,974514
1401/02/10,942581,942810,942581,918557926487,974514
1401/02/09,944516,944748,944516,920443710432,974514
1401/02/08,944546,944779,944546,920473768064,974514
1401/02/07,944577,944810,944577,920503819172,974514
1401/02/06,945820,946054,945820,921714841054,974514
1401/02/05,940643,940875,940643,916670177003,974514
1401/02/04,940499,940730,940499,916529305837,974514
1401/02/03,931899,932126,931899,908148862157,974514
1401/02/02,931934,932161,931934,908182382229,974514
1401/02/01,931968,932195,931968,908215894256,974514
1401/01/31,932002,932230,932002,908249398235,974514
1401/01/30,923472,923695,923472,899936227124,974514
1401/01/29,914853,915071,914853,891537490912,974514
1401/01/28,908514,908730,908514,885359879987,974514
1401/01/27,908351,908567,908351,885201089882,974514
1401/01/26,906155,906367,906155,883060375882,974514
1401/01/25,906195,906407,906195,883099624399,974514
1401/01/24,906235,906447,906235,883138862266,974514
1401/01/23,906275,906487,906275,883178089481,974514
1401/01/22,912590,912805,912590,889332044704,974514
1401/01/21,912299,912513,912299,889048460374,974514
1401/01/20,913518,913734,913518,890236002899,974514
1401/01/19,913756,913972,913756,890467791738,974514
1401/01/18,913797,914013,913797,890507884097,974514
1401/01/17,913838,914054,913838,890547964298,974514
1401/01/16,908163,908377,908163,885017682489,974514
1401/01/15,908003,908217,908003,884862100204,974514
1401/01/14,914147,914364,914147,890848773459,974514
1401/01/13,915374,915593,915374,892044620228,974514
1401/01/12,915415,915635,915415,892085137529,974514
1401/01/11,915457,915676,915457,892125642514,974514
1401/01/10,915499,915718,915499,892166135186,974514
1401/01/09,920664,920891,920664,897200341357,974514
1401/01/08,921692,921920,921692,898202022108,974514
1401/01/07,921734,921962,921734,898242674982,974514
1401/01/06,918225,918448,918225,894823469791,974514
1401/01/05,913335,913551,913335,890058142867,974514
1401/01/04,913377,913592,913377,890098306127,974514
