تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/06,679963,680881,679963,3104204028970,4565257
1401/03/05,680003,680922,680003,3104390297179,4565257
1401/03/04,680044,680962,680044,3104576566457,4565257
1401/03/03,677826,678747,677826,3094451645606,4565257
1401/03/02,680437,681362,680437,3106370117463,4565257
1401/03/01,684570,685496,684570,3125238247152,4565257
1401/02/31,679277,680194,679277,3101073028178,4565257
1401/02/30,688636,689562,688636,3143799476248,4565257
1401/02/29,688671,689597,688671,3143960587343,4565257
1401/02/28,688705,689631,688705,3144114344035,4565257
1401/02/27,696239,697177,696239,3155352320208,4531993
1401/02/26,698516,699460,698516,3165669884192,4531993
1401/02/25,695415,696356,695415,3151615517680,4531993
1401/02/24,693717,694645,693717,3143918868200,4531993
1401/02/23,691236,692157,691236,3132675239935,4531993
1401/02/22,691027,691948,691027,3131727660675,4531993
1401/02/21,691060,691982,691060,3131880966144,4531993
1401/02/20,689005,689931,689005,3122565244802,4531993
1401/02/19,666415,667407,666415,2807141114225,4212304
1401/02/18,668083,669067,668083,2814169869829,4212304
1401/02/17,670213,671094,670213,2823140311932,4212304
1401/02/16,665755,666637,665755,2804364006389,4212304
1401/02/15,665789,666671,665789,2804506288913,4212304
1401/02/14,665816,666698,665816,2804618491344,4212304
1401/02/13,665850,666731,665850,2804760775916,4212304
1401/02/12,665883,666765,665883,2804903061509,4212304
1401/02/11,666538,667434,666538,2807660986757,4212304
1401/02/10,655231,656124,655231,2760030288725,4212304
1401/02/09,647359,648251,647359,2726874572985,4212304
1401/02/08,647394,648285,647394,2727018286792,4212304
1401/02/07,647427,648318,647427,2727160003444,4212304
1401/02/06,639626,640506,639626,2694298183609,4212304
1401/02/05,632972,633839,632972,2666269613115,4212304
1401/02/04,627662,628526,627662,2643902844813,4212304
1401/02/03,627126,627994,627126,2641644530034,4212304
1401/02/02,627159,628028,627159,2641784725978,4212304
1401/02/01,627192,628061,627192,2641924922921,4212304
1401/01/31,627223,628091,627223,2642053499332,4212304
1401/01/30,627190,628058,627190,2641913761275,4212304
1401/01/29,627882,628750,627882,2644828306581,4212304
1401/01/28,626969,627835,626969,2640985127851,4212304
1401/01/27,625952,626817,625952,2636701972635,4212304
1401/01/26,622335,623199,622335,2621462770545,4212304
1401/01/25,622368,623232,622368,2621602332585,4212304
1401/01/24,622401,623265,622401,2621741895610,4212304
1401/01/23,623785,624651,623785,2627573987009,4212304
1401/01/22,628216,629078,628216,2646237720043,4212304
1401/01/21,628014,628879,628014,2645385222810,4212304
1401/01/20,625458,626320,625458,2634619934827,4212304
1401/01/19,624755,625616,624755,2631658587513,4212304
1401/01/18,624788,625649,624788,2631797584697,4212304
1401/01/17,624818,625679,624818,2631924690389,4212304
1401/01/16,623585,624444,623585,2626729794784,4212304
1401/01/15,621142,621998,621142,2616439373214,4212304
1401/01/14,628668,629536,628668,2648141033753,4212304
1401/01/13,627598,628465,627598,2643635085029,4212304
1401/01/12,627632,628498,627632,2643774963481,4212304
1401/01/11,627665,628531,627665,2643914842895,4212304
1401/01/10,627698,628564,627698,2644054723268,4212304
1401/01/09,627227,628092,627227,2642070823520,4212304
1401/01/08,628396,629262,628396,2646993511251,4212304
1401/01/07,626866,627730,626866,2640548394072,4212304
1401/01/06,605436,606357,605436,2371261393812,3916621
1401/01/05,600787,601707,600787,2353053623462,3916621
1401/01/04,600822,601742,600822,2353191873689,3916621
1401/01/03,600857,601778,600857,2353330124863,3916621
1401/01/02,600893,601813,600893,2353468376983,3916621
1401/01/01,600928,601848,600928,2353606630046,3916621
1400/12/29,600958,601879,600958,2353725964786,3916621
1400/12/28,600049,600980,600049,2323867910082,3872796
1400/12/27,598533,599463,598533,2317996251954,3872796
1400/12/26,598566,599495,598566,2318122166999,3872796
1400/12/25,598602,599532,598602,2318263509030,3872796
1400/12/24,599132,600063,599132,2320316662374,3872796
1400/12/23,591548,592463,591548,2290945531386,3872796
1400/12/22,584439,585361,584439,2219188697323,3797124
1400/12/21,583821,584735,583821,2216842257589,3797124
1400/12/20,577708,578607,577708,2193629205166,3797124
1400/12/19,577743,578642,577743,2193762898373,3797124
1400/12/18,577778,578677,577778,2193896593587,3797124
1400/12/17,572745,573630,572745,2174783476693,3797124
1400/12/16,570738,571610,570738,2157806212399,3780728
1400/12/15,568401,569265,568401,2148970684728,3780728
1400/12/14,565545,566399,565545,2138172914754,3780728
1400/12/13,560596,561437,560596,2119462717402,3780728
1400/12/12,560630,561471,560630,2119587854206,3780728
1400/12/11,560300,561147,560300,2104013267693,3755152
1400/12/10,558882,559724,558882,2098687116565,3755152
1400/12/09,558915,559757,558915,2098810448423,3755152
1400/12/08,560548,561389,560548,2104944019844,3755152
1400/12/07,564080,564920,564080,2118206683466,3755152
1400/12/06,565859,566692,565859,2124886880230,3755152
1400/12/05,565892,566724,565892,2125010089171,3755152
1400/12/04,565925,566757,565925,2125133300062,3755152
1400/12/03,567495,568312,567495,2131030549882,3755152
1400/12/02,567263,568069,567263,2120120926733,3737460
1400/12/01,567327,568132,567327,2120360596602,3737460
1400/11/30,569573,570380,569573,2128754840078,3737460
1400/11/29,571450,572260,571450,2135773236015,3737460
1400/11/28,571480,572290,571480,2135884773281,3737460
1400/11/27,571512,572322,571512,2136004380623,3737460
1400/11/26,574836,575650,574836,2148425863605,3737460
1400/11/25,574868,575682,574868,2148546037656,3737460
