تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,1284271,1287022,1284271,24391026394007,18992122
1401/03/06,1262257,1264970,1262257,23972934053650,18992122
1401/03/05,1262322,1265035,1262322,23974176996165,18992122
1401/03/04,1262388,1265101,1262388,23975420531810,18992122
1401/03/03,1267563,1269429,1267563,24073703970122,18992122
1401/03/02,1270774,1272646,1270774,24134701518785,18992122
1401/03/01,1294017,1295921,1294017,24576123709618,18992122
1401/02/31,1284813,1286711,1284813,24401323886450,18992122
1401/02/30,1288982,1290885,1288982,24480499949479,18992122
1401/02/29,1289018,1290921,1289018,24481179410847,18992122
1401/02/28,1289052,1290956,1289052,24481841656169,18992122
1401/02/27,1283784,1285679,1283784,24381789014906,18992122
1401/02/26,1255083,1256937,1255083,23836684855170,18992122
1401/02/25,1246038,1247879,1246038,23664899132224,18992122
1401/02/24,1281351,1283426,1281351,21630697289418,16881169
1401/02/23,1271723,1273788,1271723,21468176685575,16881169
1401/02/22,1271764,1273829,1271764,21468869128694,16881169
1401/02/21,1271805,1273870,1271805,21469562119041,16881169
1401/02/20,1258033,1260078,1258033,21237067059276,16881169
1401/02/19,1268402,1270266,1268402,21412107403480,16881169
1401/02/18,1275181,1277056,1275181,21526552854911,16881169
1401/02/17,1274605,1276488,1274605,21516815757627,16881169
1401/02/16,1286829,1288732,1286829,21723183118803,16881169
1401/02/15,1286868,1288771,1286868,21723844139331,16881169
1401/02/14,1286908,1288810,1286908,21724507155031,16881169
1401/02/13,1286947,1288850,1286947,21725170661261,16881169
1401/02/12,1286985,1288888,1286985,21725808171124,16881169
1401/02/11,1319673,1321624,1319673,22277629267495,16881169
1401/02/10,1318406,1320355,1318406,22256236684529,16881169
1401/02/09,1318488,1320437,1318488,22257625207045,16881169
1401/02/08,1318537,1320486,1318537,22258451540869,16881169
1401/02/07,1318586,1320535,1318586,22259278361135,16881169
1401/02/06,1319330,1321265,1319330,22271830725504,16881169
1401/02/05,1316902,1318844,1316902,22230845902848,16881169
1401/02/04,1314602,1316537,1314602,22192021890278,16881169
1401/02/03,1300528,1302444,1300528,21954435659529,16881169
1401/02/02,1300582,1302498,1300582,21955352272758,16881169
1401/02/01,1300637,1302553,1300637,21956269278691,16881169
1401/01/31,1300682,1302598,1300682,21957026969618,16881169
1401/01/30,1304116,1306061,1304116,22015009351193,16881169
1401/01/29,1306132,1308078,1306132,22049028762048,16881169
1401/01/28,1305076,1307023,1305076,22031208425864,16881169
1401/01/27,1304434,1306380,1304434,22020377060266,16881169
1401/01/26,1299748,1301687,1299748,21941258558234,16881169
1401/01/25,1299800,1301739,1299800,21942136882655,16881169
1401/01/24,1299852,1301791,1299852,21943015493671,16881169
1401/01/23,1298578,1300515,1298578,21921520053652,16881169
1401/01/22,1303560,1305501,1303560,22005620320895,16881169
1401/01/21,1301110,1303039,1301110,21964260480821,16881169
1401/01/20,1298662,1300588,1298662,21922940367930,16881169
1401/01/19,1298071,1299996,1298071,21912958029952,16881169
1401/01/18,1298113,1300038,1298113,21913665038939,16881169
1401/01/17,1298166,1300092,1298166,21914567937457,16881169
1401/01/16,1300848,1302784,1300848,21815611714643,16770297
1401/01/15,1295548,1297476,1295548,21726728171849,16770297
1401/01/14,1292742,1294665,1292742,21679664093122,16770297
1401/01/13,1263391,1265272,1263391,21187437917784,16770297
1401/01/12,1263439,1265320,1263439,21188243041539,16770297
1401/01/11,1263490,1265371,1263490,21189105634203,16770297
