تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,4392479,4399167,4392479,1245338330046,283516
1401/03/06,4587747,4594728,4587747,1300699734436,283516
1401/03/05,4587945,4594926,4587945,1300756008068,283516
1401/03/04,4588144,4595125,4588144,1300812281700,283516
1401/03/03,4538124,4545030,4538124,1286631005897,283516
1401/03/02,4673523,4680631,4673523,1325018558310,283516
1401/03/01,4942197,4949709,4942197,1401191951747,283516
1401/02/31,5073748,5081458,5073748,1438489011198,283516
1401/02/30,5131317,5139114,5131317,1454810686766,283516
1401/02/29,5131538,5139335,5131538,1454873283770,283516
1401/02/28,5131759,5139556,5131759,1454935880774,283516
1401/02/27,5361823,5369965,5361823,1520162646343,283516
1401/02/26,5165045,5172891,5165045,1464372919590,283516
1401/02/25,5004956,5012561,5004956,1418985260569,283516
1401/02/24,5169345,5177197,5169345,1465592207057,283516
1401/02/23,5362713,5370855,5362713,1520415037137,283516
1401/02/22,5362943,5371086,5362943,1520480312011,283516
1401/02/21,5363173,5371316,5363173,1520545586885,283516
1401/02/20,5548823,5557244,5548823,1573180275055,283516
1401/02/19,5326944,5335031,5326944,1510273933883,283516
1401/02/18,5027797,5035434,5027797,1425461082647,283516
1401/02/17,4890880,4898311,4890880,1386642980064,283516
1401/02/16,4612962,4619975,4612962,1307848621733,283516
1401/02/15,4613161,4620174,4613161,1307905142899,283516
1401/02/14,4613361,4620373,4613361,1307961664065,283516
1401/02/13,4613560,4620573,4613560,1308018185231,283516
1401/02/12,4613759,4620772,4613759,1308074706397,283516
1401/02/11,4613959,4620972,4613959,1308131227563,283516
1401/02/10,4614158,4621171,4614158,1308187748729,283516
1401/02/09,4614357,4621370,4614357,1308244269895,283516
1401/02/08,4614557,4621570,4614557,1308300791061,283516
1401/02/07,4614756,4621769,4614756,1308357312227,283516
1401/02/06,4614955,4621968,4614955,1308413833393,283516
1401/02/05,4615155,4622168,4615155,1308470354559,283516
1401/02/04,4615354,4622367,4615354,1308526875725,283516
1401/02/03,4615553,4622566,4615553,1308583396891,283516
1401/02/02,4615753,4622766,4615753,1308639918057,283516
1401/02/01,4615952,4622965,4615952,1308696439223,283516
1401/01/31,4616152,4623164,4616152,1308752960389,283516
1401/01/30,4616343,4623355,4616343,1308807112988,283516
1401/01/29,4616542,4623555,4616542,1308863634154,283516
1401/01/28,4616741,4623754,4616741,1308920155320,283516
1401/01/27,4616941,4623954,4616941,1308976676486,283516
1401/01/26,4617140,4624153,4617140,1309033211752,283516
1401/01/25,4617339,4624352,4617339,1309089732918,283516
1401/01/24,4617539,4624552,4617539,1309146254084,283516
1401/01/23,4617738,4624751,4617738,1309202775250,283516
1401/01/22,4617937,4624950,4617937,1309259296416,283516
1401/01/21,4618137,4625150,4618137,1309315817582,283516
1401/01/20,4618336,4625349,4618336,1309372338748,283516
1401/01/19,4618536,4625548,4618536,1309428859914,283516
1401/01/18,4618735,4625748,4618735,1309485381080,283516
1401/01/17,4618934,4625947,4618934,1309541902246,283516
1401/01/16,4619134,4626147,4619134,1309598423412,283516
1401/01/15,4619333,4626346,4619333,1309654944578,283516
1401/01/14,4619532,4626545,4619532,1309711465744,283516
1401/01/13,4619732,4626745,4619732,1309767986910,283516
1401/01/12,4619931,4626944,4619931,1309824508076,283516
1401/01/11,4620130,4627143,4620130,1309881029242,283516
1401/01/10,4620330,4627343,4620330,1309937550408,283516
1401/01/09,4620529,4627542,4620529,1309994071574,283516
1401/01/08,4620730,4627743,4620730,1310051012740,283516
1401/01/07,4620931,4627944,4620931,1310107953906,283516
1401/01/06,4621130,4628143,4621130,1310164475072,283516
1401/01/05,4621329,4628342,4621329,1310220996238,283516
1401/01/04,4621529,4628542,4621529,1310277517404,283516
1401/01/03,4621728,4628741,4621728,1310334038570,283516
1401/01/02,4621928,4628941,4621928,1310390559736,283516
1401/01/01,4622127,4629140,4622127,1310447080902,283516
1400/12/29,4622319,4629332,4622319,1310501613484,283516
1400/12/28,4622537,4629550,4622537,1310563482935,283516
1400/12/27,4622712,4629724,4622712,1310612835367,283516
1400/12/26,4622886,4629899,4622886,1310662205323,283516
1400/12/25,4623060,4630073,4623060,1310711592766,283516
1400/12/24,4623234,4630247,4623234,1310760997659,283516
1400/12/23,4623409,4630421,4623409,1310810434683,283516
1400/12/22,4623583,4630596,4623583,1310859874372,283516
1400/12/21,4623757,4630770,4623757,1310909331406,283516
1400/12/20,4623932,4630945,4623932,1310958805749,283516
1400/12/19,4624106,4631119,4624106,1311008297365,283516
1400/12/18,4624281,4631294,4624281,1311057806219,283516
1400/12/17,4624456,4631469,4624456,1311107332277,283516
1400/12/16,4624630,4631643,4624630,1311156875503,283516
1400/12/15,4624805,4631818,4624805,1311206435862,283516
1400/12/14,4624980,4631993,4624980,1311256013319,283516
1400/12/13,4625155,4632168,4625155,1311305607840,283516
1400/12/12,4625330,4632343,4625330,1311355219390,283516
1400/12/11,4625505,4632518,4625505,1311404847933,283516
1400/12/10,4625680,4632693,4625680,1311454493437,283516
1400/12/09,4625855,4632868,4625855,1311504155866,283516
1400/12/08,4626031,4633044,4626031,1311553835186,283516
1400/12/07,4626206,4633219,4626206,1311603531362,283516
1400/12/06,4626381,4633394,4626381,1311653244362,283516
1400/12/05,4626557,4633570,4626557,1311702974150,283516
1400/12/04,4626732,4633745,4626732,1311752720692,283516
1400/12/03,4626908,4633921,4626908,1311802483956,283516
1400/12/02,4627083,4634096,4627083,1311852263907,283516
1400/12/01,4627259,4634272,4627259,1311902060511,283516
1400/11/30,4627423,4634436,4627423,1311948633637,283516
1400/11/29,4627598,4634611,4627598,1311998163498,283516
1400/11/28,4627774,4634787,4627774,1312048009862,283516
1400/11/27,4627950,4634962,4627950,1312097872745,283516
1400/11/26,4628125,4635138,4628125,1312147752114,283516
1400/11/25,4628301,4635314,4628301,1312197647937,283516
1400/11/24,4628478,4635490,4628478,1312247572474,283516
1400/11/23,4628654,4635667,4628654,1312297501105,283516
1400/11/22,4628830,4635843,4628830,1312347446090,283516
1400/11/21,4629006,4636019,4629006,1312397407396,283516
1400/11/20,4629182,4636195,4629182,1312447384992,283516
1400/11/19,4629359,4636372,4629359,1312497378844,283516
1400/11/18,4629535,4636548,4629535,1312547388920,283516
1400/11/17,4629711,4636724,4629711,1312597415188,283516
1400/11/16,4629888,4636901,4629888,1312647457614,283516
1400/11/15,4630065,4637077,4630065,1312697516168,283516
1400/11/14,4630241,4637254,4630241,1312747590816,283516
1400/11/13,4630418,4637431,4630418,1312797681527,283516
1400/11/12,4630595,4637608,4630595,1312847837025,283516
1400/11/11,4630772,4637784,4630772,1312897959765,283516
1400/11/10,4630948,4637961,4630948,1312948098472,283516
