تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,8392984,8446607,8392984,80339741520961,9572250
1401/03/06,8707797,8763432,8707797,83353214430894,9572250
1401/03/05,8707806,8763440,8707806,83353299567284,9572250
1401/03/04,8707815,8763449,8707815,83353384706704,9572250
1401/03/03,8617504,8672560,8617504,82488907542152,9572250
1401/03/02,8632259,8687409,8632259,82630150540141,9572250
1401/03/01,9123881,9182175,9123881,87336076824377,9572250
1401/02/31,9132869,9191220,9132869,87422111903467,9572250
1401/02/30,8915276,8972205,8915276,85339256935209,9572250
1401/02/29,8915285,8972214,8915285,85339339926023,9572250
1401/02/28,8915293,8972223,8915293,85339422919828,9572250
1401/02/27,8988673,9046072,8988673,86041832100321,9572250
1401/02/26,8782165,8838248,8782165,84065085554655,9572250
1401/02/25,8688799,8744283,8688799,83171359759693,9572250
1401/02/24,8808832,8865085,8808832,84320345327545,9572250
1401/02/23,8808602,8864854,8808602,84318145687091,9572250
1401/02/22,8808611,8864862,8808611,84318228698731,9572250
1401/02/21,8808619,8864871,8808619,84318311713324,9572250
1401/02/20,8711286,8766915,8711286,83386616580145,9572250
1401/02/19,8820779,8877108,8820779,84434702939075,9572250
1401/02/18,9149191,9207625,9149191,87578348236529,9572250
1401/02/17,8939734,8996826,8939734,85573375483513,9572250
1401/02/16,8927160,8984171,8927160,85453008528030,9572250
1401/02/15,8927168,8984179,8927168,85453091560235,9572250
1401/02/14,8927177,8984188,8927177,85453174595357,9572250
1401/02/13,8927186,8984197,8927186,85453257633391,9572250
1401/02/12,8927194,8984205,8927194,85453340674331,9572250
1401/02/11,8997646,9055113,8997646,86127717211459,9572250
1401/02/10,8602484,8657428,8602484,82345129757807,9572250
1401/02/09,8521315,8575739,8521315,81568157947889,9572250
1401/02/08,8521323,8575747,8521323,81568241000403,9572250
1401/02/07,8521332,8575756,8521332,81568324055798,9572250
1401/02/06,8560996,8615674,8560996,81947995342379,9572250
1401/02/05,8402525,8456188,8402525,80431073816570,9572250
1401/02/04,8491042,8545273,8491042,81278385144062,9572250
1401/02/03,8652781,8708051,8652781,82826589740217,9572250
1401/02/02,8652790,8708060,8652790,82826675216756,9572250
1401/02/01,8652799,8708069,8652799,82826760693295,9572250
1401/01/31,8652808,8708078,8652808,82826846169834,9572250
1401/01/30,8654922,8710206,8654922,82847085781233,9572250
1401/01/29,8463464,8517520,8463464,81014393307389,9572250
1401/01/28,8255382,8308104,8255382,79022580832090,9572250
1401/01/27,8361213,8414614,8361213,80035628789995,9572250
1401/01/26,8327328,8380511,8327328,79711266527381,9572250
1401/01/25,8327337,8380520,8327337,79711352003920,9572250
1401/01/24,8327345,8380529,8327345,79711437480459,9572250
1401/01/23,8433566,8487430,8433566,80728203353670,9572250
1401/01/22,8840062,8896532,8840062,84619291116036,9572250
1401/01/21,8933506,8990574,8933506,85513756431862,9572250
1401/01/20,8570035,8624907,8570035,82034523437267,9572250
1401/01/19,8876760,8933599,8876760,84970571332748,9572250
1401/01/18,8876769,8933608,8876769,84970656809287,9572250
1401/01/17,8876778,8933617,8876778,84970742285826,9572250
1401/01/16,8932219,8989415,8932219,85501436363774,9572250
