تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/06,950965,952365,950965,19096479181339,20066193
1401/03/05,951000,952400,951000,19097186516828,20066193
1401/03/04,951035,952436,951035,19097894242590,20066193
1401/03/03,933400,934778,933400,18728459842302,20049784
1401/03/02,918045,919401,918045,18417779121042,20046950
1401/03/01,928608,929973,928608,18623638891747,20040510
1401/02/31,927640,929002,927640,18604213660255,20040510
1401/02/30,946047,947431,946047,19102784984359,20177255
1401/02/29,946084,947469,946084,19103533177717,20177255
1401/02/28,946121,947506,946121,19104281704957,20177255
1401/02/27,967759,969171,967759,19541150019995,20177255
1401/02/26,972677,974097,972677,19640470630209,20177255
1401/02/25,969643,971061,969643,19574199702660,20172069
1401/02/24,976993,978450,976993,19323553216178,19763669
1401/02/23,954486,955913,954486,18878441187855,19763669
1401/02/22,954525,955952,954525,18879201445492,19763669
1401/02/21,954563,955990,954563,18879962032715,19763669
1401/02/20,926665,928029,926665,18323355766006,19758709
1401/02/19,933147,934522,933147,18444067288570,19750697
1401/02/18,949520,950916,949520,18767654907001,19750697
1401/02/17,959837,961247,959837,18971558823102,19750697
1401/02/16,951293,952692,951293,18797459614898,19745196
1401/02/15,951330,952729,951330,18798201373931,19745196
1401/02/14,951368,952767,951368,18798943461084,19745196
1401/02/13,951406,952805,951406,18799685872997,19745196
1401/02/12,951443,952842,951443,18800428609078,19745196
1401/02/11,942853,944241,942853,18630702243198,19745196
1401/02/10,940379,941761,940379,18745435571593,19919076
1401/02/09,932573,933947,932573,18589867386079,19919076
1401/02/08,932611,933985,932611,18590611736948,19919076
1401/02/07,932648,934022,932648,18591356393626,19919076
1401/02/06,927817,929185,927817,18475746415538,19898264
1401/02/05,897119,898443,897119,17853882810132,19886484
1401/02/04,888287,889597,888287,17678107737494,19886484
1401/02/03,881202,882516,881202,17537249425738,19886484
1401/02/02,881245,882559,881245,17538111370534,19886484
1401/02/01,881285,882599,881285,17538908609978,19886484
1401/01/31,890992,892304,890992,17731918707401,19886484
1401/01/30,881507,882821,881507,17543318112202,19886484
1400/12/29,800749,801984,800749,15854102657778,19783629
1400/12/28,800746,801980,800746,15854029040308,19783629
1400/12/27,777057,778258,777057,15385044835700,19783629
1400/12/26,777103,778304,777103,15385958726043,19783629
1400/12/25,777149,778350,777149,15386872626414,19783629
