تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/06,779521,780461,779521,16548978737058,21229662
1401/03/05,779476,780416,779476,16548022031507,21229662
1401/03/04,779431,780371,779431,16547066934801,21229662
1401/03/03,779288,780226,779288,16544027569414,21229662
1401/03/02,786459,787408,786459,16696261792163,21229662
1401/03/01,806997,807973,806997,17132287333532,21229662
1401/02/31,807129,808106,807129,17135080076082,21229662
1401/02/30,822738,823735,822738,17466456880720,21229662
1401/02/29,822693,823691,822693,17465510970778,21229662
1401/02/28,822649,823646,822649,17464566337031,21229662
1401/02/27,833911,834924,833911,17703665406658,21229662
1401/02/26,780148,781057,780148,18233094771010,23371325
1401/02/25,783025,783939,783025,18300350418007,23371325
1401/02/24,1022048,1023432,1022048,16003868495462,15658612
1401/02/23,1032775,1034176,1032775,16171830960776,15658612
1401/02/22,1032707,1034108,1032707,16170765527262,15658612
1401/02/21,1032639,1034040,1032639,16169701850821,15658612
1401/02/20,925910,927076,925910,17039624010816,18403104
1401/02/19,918689,919846,918689,16906733418442,18403104
1401/02/18,1025917,1027248,1025917,20016696946188,19511026
1401/02/17,1016528,1017846,1016528,19833506145314,19511027
1401/02/16,1004248,1005547,1004248,19593919798067,19511027
1401/02/15,1004194,1005494,1004194,19592872521867,19511027
1401/02/14,1004141,1005440,1004141,19591827072826,19511027
1401/02/13,1004087,1005387,1004087,19590783450835,19511027
1401/02/12,1004034,1005333,1004034,19589741655947,19511027
1401/02/11,989644,990924,989644,19308978711019,19511027
1401/02/10,966673,967904,966673,19595547110067,20271109
1401/02/09,972338,973512,972338,20475332086604,21057830
1401/02/08,972288,973462,972288,20474285772432,21057830
1401/02/07,972230,973404,972230,20473060620103,21057830
1401/02/06,968104,969302,968104,20386180673902,21057830
1401/02/05,961635,962825,961635,20249947817641,21057829
1401/02/04,956737,957926,956737,20146809834927,21057829
1401/02/03,953813,954997,953813,20085246812051,21057829
1401/02/02,953764,954948,953764,20084212735351,21057829
1401/02/01,953714,954898,953714,20083163380206,21057829
1401/01/31,953656,954840,953656,20081931261633,21057829
1401/01/30,947734,948909,947734,19957235163190,21057829
1401/01/29,938555,939719,938555,19763942456696,21057829
1401/01/28,931351,932505,931351,19612239828186,21057829
1401/01/27,928894,930046,928894,19560495426162,21057829
1401/01/26,917873,919009,917873,19328431808540,21057829
1401/01/25,917822,918957,917822,19327344099816,21057829
1401/01/24,917770,918906,917770,19326258219283,21057829
1401/01/23,912109,913237,912109,19207046564110,21057829
1401/01/22,927119,928268,927119,19523125530604,21057829
1401/01/21,925821,926970,925821,19495784344125,21057829
1401/01/20,911779,912909,911779,19200103723751,21057829
1401/01/19,910233,911360,910233,19167539621557,21057829
1401/01/18,910181,911308,910181,19166450993985,21057829
1401/01/17,910130,911256,910130,19165363886808,21057829
1401/01/16,912022,913149,912022,19205212482750,21057829
1401/01/15,905275,906394,905275,19063145944771,21057829
1401/01/14,900011,901124,900011,18952297625889,21057829
1401/01/13,883322,884412,883322,18600851284797,21057829
1401/01/12,883270,884359,883270,18599754781400,21057829
1401/01/11,883218,884307,883218,18598660119015,21057829
1401/01/10,883166,884256,883166,18597567297559,21057829
1401/01/09,882413,883502,882413,18581711229655,21057829
1401/01/08,882113,883203,882113,18581576675534,21064829
1401/01/07,877987,879071,877987,18494648667083,21064829
1401/01/06,877304,878391,877304,18480270230578,21064829
1401/01/05,871983,873062,871983,18368181132441,21064829
1401/01/04,871946,873025,871946,18367410760070,21064829
1401/01/03,871910,872989,871910,18366642254050,21064829
1401/01/02,871873,872952,871873,18365875614370,21064829
1401/01/01,871837,872916,871837,18365108867913,21064829
1400/12/29,871798,872876,871798,18364280619019,21064829
1400/12/28,871743,872822,871743,18363124436902,21064829
1400/12/27,863235,864843,863235,13910827242356,16114757
1400/12/26,863164,864772,863164,13909685174138,16114757
1400/12/25,863093,864702,863093,13908544745740,16114757
1400/12/24,854576,855795,854576,13658707535602,15983020
1400/12/23,852824,854041,852824,13630705837226,15983020
1400/12/22,853688,854822,853688,13644520932432,15983020
1400/12/21,851086,852217,851086,13602940510553,15983020
1400/12/20,866181,867322,866181,13844198228466,15983020
