تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,10905962,10919267,10905962,7840383425764,718908
1401/03/06,10969209,10982563,10969209,7885852444107,718908
1401/03/05,10969043,10982397,10969043,7885732987458,718908
1401/03/04,10968877,10982231,10968877,7885613728868,718908
1401/03/03,10948308,10961632,10948308,7870826597686,718908
1401/03/02,10973007,10986442,10973007,7888582770732,718908
1401/03/01,11018124,11031592,11018124,7921018118827,718908
1401/02/31,11014474,11027931,11014474,7918393499005,718908
1401/02/30,11036718,11050193,11036718,7934385139824,718908
1401/02/29,11036584,11050058,11036584,7934288552055,718908
1401/02/28,11036449,11049924,11036449,7934192137386,718908
1401/02/27,11027709,11041008,11027709,7927908372556,718908
1401/02/26,10961346,10974467,10961346,7880199695458,718908
1401/02/25,10825455,10838717,10825455,7782506407057,718908
1401/02/24,10802302,10815504,10802302,7765861578378,718908
1401/02/23,10720484,10733541,10720484,7707042359966,718908
1401/02/22,10720375,10733431,10720375,7706963374845,718908
1401/02/21,10720265,10733321,10720265,7706884546132,718908
1401/02/20,10604554,10617445,10604554,7623698835407,718908
1401/02/19,10586218,10599077,10586218,7610517117814,718908
1401/02/18,10612801,10625646,10612801,7629627592957,718908
1401/02/17,10575607,10588419,10575607,7602888950344,718908
1401/02/16,10616576,10629367,10616576,7632341782301,718908
1401/02/15,10616465,10629256,10616465,7632262295518,718908
1401/02/14,10616355,10629146,10616355,7632182964956,718908
1401/02/13,10616245,10629036,10616245,7632103790615,718908
1401/02/12,10616135,10628926,10616135,7632024772493,718908
1401/02/11,10620392,10633088,10620392,7635085351836,718908
1401/02/10,10618811,10631477,10618811,7633948756258,718908
1401/02/09,10558344,10570883,10558344,7590478084646,718908
1401/02/08,10558232,10570771,10558232,7590397700313,718908
1401/02/07,10558120,10570660,10558120,7590317472545,718908
1401/02/06,10562744,10575244,10562744,7593641394176,718908
1401/02/05,10474561,10486894,10474561,7530246079269,718908
1401/02/04,10426595,10437866,10426595,7495762648370,718908
1401/02/03,10488776,10503374,10488776,7540465073312,718908
1401/02/02,10488693,10503291,10488693,7540405336540,718908
1401/02/01,10488610,10503208,10488610,7540345756331,718908
1401/01/31,10488526,10503125,10488526,7540285868629,718908
1401/01/30,10524617,10539228,10524617,7566231621779,718908
1401/01/29,10601213,10615884,10601213,7621297282042,718908
1401/01/28,10483447,10497984,10483447,7536634432181,718908
1401/01/27,10570220,10584835,10570220,7599015904215,718908
1401/01/26,10472214,10486618,10472214,7528558738927,718908
1401/01/25,10472131,10486535,10472131,7528498979555,718908
1401/01/24,10472048,10486452,10472048,7528439376750,718908
1401/01/23,10402012,10416381,10402012,7478089727084,718908
1401/01/22,10744508,10759126,10744508,7724313446042,718908
1401/01/21,10707995,10721614,10707995,8265459277592,771896
1401/01/20,10687486,10702663,10687486,8249627850678,771896
1401/01/19,10828972,10844248,10828972,8358840184362,771896
1401/01/18,10828925,10844202,10828925,8358804375861,771896
1401/01/17,10828879,10844156,10828879,8358768714170,771896
1401/01/16,10860437,10875639,10860437,8383128384696,771896
1401/01/15,10968644,10983977,10968644,8466652770736,771896
1401/01/14,10941589,10956797,10941589,8445769229677,771896
1401/01/13,10731501,10746518,10731501,8283602863051,771896
1401/01/12,10731511,10746529,10731511,8283610912888,771896
1401/01/11,10731522,10746539,10731522,8283619064560,771896
1401/01/10,10731532,10746550,10731532,8283627318068,771896
1401/01/09,10734337,10749400,10734337,8285792128515,771896
1401/01/08,10770917,10786057,10770917,8314027807953,771896
1401/01/07,10589968,10604797,10589968,8174354132048,771896
1401/01/06,10519854,10534286,10519854,8120233795454,771896
1401/01/05,10419727,10434108,10419727,8042945690521,771896
1401/01/04,10419862,10434243,10419862,8043050079642,771896
1401/01/03,10419997,10434379,10419997,8043154469257,771896
1401/01/02,10420132,10434514,10420132,8043258859364,771896
1401/01/01,10420268,10434649,10420268,8043363249965,771896
1400/12/29,10423710,10438092,10423710,8046020723274,771896
1400/12/28,10423846,10438228,10423846,8046125770242,771896
1400/12/27,10431640,10447211,10431640,8052141448950,771896
1400/12/26,10431787,10447358,10431787,8052254824538,771896
1400/12/25,10431934,10447505,10431934,8052368200623,771896
1400/12/24,10427667,10443279,10427667,8049075210614,771896
1400/12/23,10448122,10463763,10448122,8064863787020,771896
1400/12/22,10337521,10353058,10337521,7979491682844,771896
1400/12/21,10300312,10315862,10300312,7950770003781,771896
1400/12/20,10279414,10294907,10279414,7934638898987,771896
1400/12/19,10279560,10295053,10279560,7934751730498,771896
1400/12/18,10279706,10295200,10279706,7934864562507,771896
1400/12/17,10193686,10209238,10193686,7868465527386,771896
1400/12/16,10177347,10193037,10177347,7855853762921,771896
1400/12/15,9904362,9919533,9904362,7645137530331,771896
1400/12/14,9701054,9715960,9701054,7488204996984,771896
1400/12/13,9601837,9616616,9601837,7411619664208,771896
1400/12/12,9601901,9616680,9601901,7411669326813,771896
1400/12/11,9601965,9616744,9601965,7411719047219,771896
1400/12/10,9551639,9566238,9551639,7372871998222,771896
1400/12/09,9551702,9566301,9551702,7372920575662,771896
1400/12/08,9523290,9537820,9523290,7350989621024,771896
1400/12/07,9513979,9528470,9513979,7343802928371,771896
1400/12/06,9534579,9549073,9534579,7359704049199,771896
1400/12/05,9534642,9549135,9534642,7359752107658,771896
1400/12/04,9534704,9549197,9534704,7359800223914,771896
1400/12/03,9525768,9540225,9525768,7352902951964,771896
1400/12/02,9514064,9528415,9514064,7343868516174,771896
1400/12/01,9513042,9527298,9513042,7343079753723,771896
1400/11/30,9559569,9573829,9559569,7378993438931,771896
