تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,18000424,18069845,18000424,30159566576683,1675492
1401/03/06,18173864,18244373,18173864,30274169204830,1665808
1401/03/05,18174098,18244607,18174098,30274558490286,1665808
1401/03/04,18174332,18244841,18174332,30274948302842,1665808
1401/03/03,18183327,18253870,18183327,30289932556147,1665808
1401/03/02,18452720,18524319,18452720,30738689631834,1665808
1401/03/01,18721623,18794276,18721623,31186630767738,1665808
1401/02/31,18792592,18865522,18792592,31304851078414,1665808
1401/02/30,19069762,19143778,19069762,31766563706850,1665808
1401/02/29,19070023,19144038,19070023,31766997472072,1665808
1401/02/28,19070284,19144299,19070284,31767431757801,1665808
1401/02/27,19176122,19250552,19176122,31943738824442,1665808
1401/02/26,19283457,19358306,19283457,32122537471124,1665808
1401/02/25,19114035,19188219,19114035,31840312757967,1665808
1401/02/24,19051345,19125282,19051345,31735883598906,1665808
1401/02/23,18872241,18945475,18872241,31437531495136,1665808
1401/02/22,18872498,18945732,18872498,31437959786050,1665808
1401/02/21,18872756,18945990,18872756,31438388590982,1665808
1401/02/20,18916015,18989418,18916015,31510450411668,1665808
1401/02/19,19297955,19372854,19297955,32146689373430,1665808
1401/02/18,19638947,19715183,19638947,32714716521744,1665808
1401/02/17,19840038,19917060,19840038,33049694260315,1665808
1401/02/16,20017728,20095446,20017728,33345691845446,1665808
1401/02/15,20018018,20095737,20018018,33346175907954,1665808
1401/02/14,20018309,20096027,20018309,33346660478100,1665808
1401/02/13,20018600,20096319,20018600,33347145554983,1665808
1401/02/12,20018892,20096610,20018892,33347631137700,1665808
1401/02/11,20119880,20197993,20119880,33515858556165,1665808
1401/02/10,20250228,20328851,20250228,33732992489402,1665808
1401/02/09,19708557,19785055,19708557,32830673338950,1665808
1401/02/08,19708842,19785339,19708842,32831146732801,1665808
1401/02/07,19709126,19785623,19709126,32831619793429,1665808
1401/02/06,19475827,19551409,19475827,32442989174881,1665808
1401/02/05,19162650,19237019,19162650,31921297324324,1665808
1401/02/04,18985998,19059860,18985998,31548084700194,1661650
1401/02/03,19150052,19226245,19150052,31820684840740,1661650
1401/02/02,19150589,19226782,19150589,31821576871513,1661650
1401/02/01,19151126,19227319,19151126,31822468902292,1661650
1401/01/31,19151663,19227855,19151663,31823360933077,1661650
1401/01/30,19159485,19235707,19159485,31836359308672,1661650
1401/01/29,18973340,19048829,18973340,31527051077898,1661650
1401/01/28,18916842,18991917,18916842,31433170986354,1661650
1401/01/27,18929698,19004833,18929698,31454533426161,1661650
1401/01/26,18642312,18716318,18642312,30976998846466,1661650
1401/01/25,18642834,18716840,18642834,30977865490370,1661650
1401/01/24,18643355,18717361,18643355,30978731720358,1661650
1401/01/23,18654348,18728395,18654348,30996997964410,1661650
1401/01/22,19064592,19140245,19064592,31678679586708,1661650
1401/01/21,19246961,19323309,19246961,31981713133182,1661650
1401/01/20,19203981,19280136,19203981,31910295344986,1661650
1401/01/19,19016059,19091517,19016059,31578314926670,1660613
1401/01/18,19016590,19092049,19016590,31579197883488,1660613
1401/01/17,19017103,19092562,19017103,31580049955269,1660613
1401/01/16,18634496,18708456,18634496,30944686502428,1660613
1401/01/15,18502526,18575967,18502526,30725535346005,1660613
1401/01/14,18543616,18617214,18543616,30793769889237,1660613
1401/01/13,18405108,18478162,18405108,30563763228127,1660613
1401/01/12,18405623,18478677,18405623,30564618281264,1660613
1401/01/11,18406138,18479192,18406138,30565473334406,1660613
1401/01/10,18406653,18479706,18406653,30566328387554,1660613
1401/01/09,18261876,18334360,18261876,30325909758419,1660613
1401/01/08,17934926,18006137,17934926,29782971545687,1660613
1401/01/07,17935426,18006637,17935426,29783803235706,1660613
1401/01/06,17609137,17679088,17609137,29241962060573,1660613
1401/01/05,17708125,17778463,17708125,29406344194502,1660613
1401/01/04,17708621,17778959,17708621,29407167739568,1660613
1401/01/03,17709117,17779455,17709117,29407991284640,1660613
1401/01/02,17709613,17779951,17709613,29408814829718,1660613
1401/01/01,17710109,17780447,17710109,29409638374801,1660613
1400/12/29,17710605,17780943,17710605,29410461919891,1660613
1400/12/28,17711102,17781439,17711102,29411286261221,1660613
1400/12/27,17447746,17541339,17447746,21558784214603,1235620
1400/12/26,17448407,17542000,17448407,21559601694165,1235620
1400/12/25,17449046,17542639,17449046,21560391052203,1235620
1400/12/24,17135543,17227971,17135543,21173019710865,1235620
1400/12/23,17358693,17428009,17358693,21448749392259,1235620
1400/12/22,17408181,17477689,17408181,21509897396892,1235620
1400/12/21,17887754,17959140,17887754,22102467097573,1235620
1400/12/20,18021496,18093405,18021496,22267721979054,1235620
1400/12/19,18021982,18093891,18021982,22268321782720,1235620
1400/12/18,18022467,18094376,18022467,22268921624394,1235620
1400/12/17,18175131,18247637,18175131,22457555872201,1235620
1400/12/16,18215738,18288402,18215738,22507731413786,1235620
1400/12/15,18015236,18087110,18015236,22259985980936,1235620
1400/12/14,17949104,18020717,17949104,22178272127515,1235620
1400/12/13,17993712,18065498,17993712,22233390632699,1235620
1400/12/12,17994196,18065983,17994196,22233989645802,1235620
1400/12/11,17994681,18066468,17994681,22234588696372,1235620
1400/12/10,18076061,18148165,18076061,22335142993733,1235620
1400/12/09,18076548,18148652,18076548,22335744857433,1235620
1400/12/08,18128514,18200819,18128514,22399954618897,1235620
1400/12/07,18114289,18186537,18114289,22382378509417,1235620
1400/12/06,18144194,18216557,18144194,22419329078219,1235620
