تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/06,3080986,3084171,3080986,327388700692,106261
1401/03/05,3080346,3083531,3080346,327320698237,106261
1401/03/04,3079707,3082892,3079707,327252766123,106261
1401/03/03,3096431,3099642,3096431,329029895039,106261
1401/03/02,3078040,3081238,3078040,327075673712,106261
1401/03/01,3068870,3071976,3068870,326101214100,106261
1401/02/31,3053930,3057012,3053930,324513749340,106261
1401/02/30,3055161,3058218,3055161,324644558462,106261
1401/02/29,3054521,3057578,3054521,324576546910,106261
1401/02/28,3053882,3056939,3053882,324508605700,106261
1401/02/27,3053541,3056565,3053541,324472410212,106261
1401/02/26,3060196,3063173,3060196,325179509303,106261
1401/02/25,3061273,3064118,3061273,325294031895,106261
1401/02/24,3067572,3070413,3067572,325963370139,106261
1401/02/23,2996161,2998957,2996161,318375122196,106261
1401/02/22,2995521,2998317,2995521,318307119108,106261
1401/02/21,2994882,2997677,2994882,318239185874,106261
1401/02/20,2977843,2980749,2977843,316428584009,106261
1401/02/19,2976190,2979097,2976190,316252995440,106261
1401/02/18,2978156,2981042,2978156,316461840349,106261
1401/02/17,2979494,2982330,2979494,316604044196,106261
1401/02/16,2980925,2983653,2980925,316756077101,106261
1401/02/15,2980287,2983015,2980287,316688297644,106261
1401/02/14,2979649,2982378,2979649,316620588040,106261
1401/02/13,2979013,2981742,2979013,316552948292,106261
1401/02/12,2978377,2981106,2978377,316485378400,106261
1401/02/11,2968836,2971552,2968836,315471557753,106261
1401/02/10,2962531,2965357,2962531,314801519883,106261
1401/02/09,2954893,2957834,2954893,313989984317,106261
1401/02/08,2954268,2957209,2954268,313923510938,106261
1401/02/07,2953643,2956584,2953643,313857107415,106261
1401/02/06,2950914,2953858,2950914,313567153504,106261
1401/02/05,2954364,2957303,2954364,313933701573,106261
1401/02/04,2956619,2959549,2956619,314205876611,106272
1401/02/03,2967437,2970387,2967437,315355478821,106272
1401/02/02,2966815,2969766,2966815,315289459356,106272
1401/02/01,2966195,2969145,2966195,315223509748,106272
1401/01/31,2965457,2968408,2965457,315145149668,106272
1401/01/30,2958062,2960995,2958062,314359230940,106272
1401/01/29,2943145,2946060,2943145,312773999648,106272
1401/01/28,2933941,2936869,2933941,311795840233,106272
1401/01/27,3025051,3028117,3025051,321478254225,106272
1401/01/26,3025066,3028134,3025066,321479917807,106272
1401/01/25,3024455,3027522,3024455,321414911254,106272
1401/01/24,3023844,3026911,3023844,321349974555,106272
1401/01/23,3018031,3021123,3018031,320732246508,106272
1401/01/22,3017406,3020493,3017406,320665864074,106272
1401/01/21,3012846,3016164,3012846,320181268374,106272
1401/01/20,3004762,3008063,3004762,319322131800,106272
1401/01/19,2991631,2994927,2991631,317926622109,106272
1401/01/18,2991032,2994328,2991032,317862994578,106272
1401/01/17,2990434,2993730,2990434,317799436904,106272
1401/01/16,2987216,2990503,2987216,317457471341,106272
1401/01/15,2984884,2988174,2984884,317209621026,106272
1401/01/14,2986883,2990177,2986883,317422082883,106272
1401/01/13,2985381,2988662,2985381,317262421671,106272
1401/01/12,2984785,2988066,2984785,317199150398,106272
1401/01/11,2984191,2987472,2984191,317135948980,106272
1401/01/10,2983596,2986878,2983596,317072817416,106272
1401/01/09,2977906,2981174,2977906,316468055224,106272
1401/01/08,2953869,2957172,2953869,313913645764,106272
1401/01/07,2935576,2939038,2935576,311969608564,106272
1401/01/06,2925306,2929854,2925306,310878217943,106272
1401/01/05,2918565,2923109,2918565,310161832031,106272
1401/01/04,2917540,2922084,2917540,310052903953,106272
1401/01/03,2916516,2921060,2916516,309944087427,106272
1401/01/02,2915494,2920037,2915494,309835382451,106272
1401/01/01,2914472,2919015,2914472,309726789028,106272
1400/12/29,2913229,2917772,2913229,309594692187,106272
1400/12/28,2912206,2916749,2912206,309485998408,106272
1400/12/27,2949008,2954228,2949008,313397075252,106272
1400/12/26,2947692,2952912,2947692,313257198142,106272
1400/12/25,2946377,2951597,2946377,313117463555,106272
1400/12/24,2944368,2947832,2944368,471278508734,160061
1400/12/23,2945115,2947837,2945115,471398199677,160061
1400/12/22,2948991,2951690,2948991,570809821014,193561
1400/12/21,2955540,2958251,2955540,572077379110,193561
1400/12/20,2966431,2969141,2966431,578205034918,194916
1400/12/19,2966145,2968854,2966145,578149240035,194916
1400/12/18,2965859,2968568,2965859,578093509441,194916
1400/12/17,2972079,2974859,2972079,579305948904,194916
1400/12/16,2977012,2979866,2977012,720380431466,241981
1400/12/15,2968680,2971523,2968680,718364369066,241981
1400/12/14,2970954,2973658,2970954,762438923328,256631
1400/12/13,2968316,2972127,2968316,761761993159,256631
1400/12/12,2968158,2971969,2968158,761721484172,256631
1400/12/11,2968000,2971811,2968000,761681039632,256631
1400/12/10,2956679,2960286,2956679,797386835676,269690
1400/12/09,2956529,2960136,2956529,797346365355,269690
1400/12/08,2946139,2949811,2946139,816640430656,277190
