تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,8012136,8024206,8012136,11442699670747,1428171
1401/03/06,8012360,8024431,8012360,11443020758806,1428171
1401/03/05,8012585,8024656,8012585,11443341846865,1428171
1401/03/04,8012810,8024880,8012810,11443662934924,1428171
1401/03/03,8013035,8025105,8013035,11443984023027,1428171
1401/03/02,8043230,8055345,8043230,11487107209883,1428171
1401/03/01,8260598,8273030,8260598,11797546062992,1428171
1401/02/31,8286997,8299463,8286997,11835249100602,1428171
1401/02/30,8182415,8194724,8182415,11685888341855,1428171
1401/02/29,8182643,8194951,8182643,11686213519927,1428171
1401/02/28,8182871,8195179,8182871,11686538697999,1428171
1401/02/27,8246654,8259058,8246654,11777632184377,1428171
1401/02/26,8048523,8060629,8048523,11494666751539,1428171
1401/02/25,7985140,7997151,7985140,11404145986448,1428171
1401/02/24,8090126,8102294,8090126,11554083255623,1428171
1401/02/23,8086564,8098732,8086564,11548996193136,1428171
1401/02/22,8086789,8098957,8086789,11549317694958,1428171
1401/02/21,8087014,8099182,8087014,11549639196780,1428171
1401/02/20,7986020,7998045,7986020,11405401920670,1428171
1401/02/19,8046184,8058300,8046184,11491326278193,1428171
1401/02/18,8364417,8376995,8364417,11945817127304,1428171
1401/02/17,8177576,8189873,8177576,11678976473916,1428171
1401/02/16,8218806,8231155,8218806,11737860561287,1428171
1401/02/15,8219035,8231383,8219035,11738186796788,1428171
1401/02/14,8219263,8231612,8219263,11738513032289,1428171
1401/02/13,8219491,8231840,8219491,11738839267790,1428171
1401/02/12,8219720,8232069,8219720,11739165503291,1428171
1401/02/11,8361743,8374284,8361743,11941999425864,1428171
1401/02/10,8017812,8029866,8017812,11450806741796,1428171
1401/02/09,7976787,7988788,7976787,11392215686761,1428171
1401/02/08,7977002,7989004,7977002,11392522903587,1428171
1401/02/07,7977222,7989223,7977222,11392836424101,1428171
1401/02/06,8070944,8083076,8070944,11526687541378,1428171
1401/02/05,7906434,7918319,7906434,11291739789201,1428171
1401/02/04,8000181,8012206,8000181,11425626284646,1428171
1401/02/03,8093923,8106090,8093923,11559506538985,1428171
1401/02/02,8094148,8106315,8094148,11559828000098,1428171
1401/02/01,8094373,8106540,8094373,11560149461211,1428171
1401/01/31,8094599,8106765,8094599,11560470922324,1428171
1401/01/30,8023743,8035803,8023743,11459277493347,1428171
1401/01/29,7922843,7934762,7922843,11315174891453,1428171
1401/01/28,7765674,7777357,7765674,11090710575596,1428171
1401/01/27,7919458,7931376,7919458,11310340058680,1428171
1401/01/26,7942155,7954107,7942155,11342755995182,1428171
1401/01/25,7942377,7954328,7942377,11343071847386,1428171
1401/01/24,7942598,7954550,7942598,11343387699590,1428171
1401/01/23,8159905,8172176,8159905,11653739774815,1428171
1401/01/22,8571633,8584514,8571633,12241758330678,1428171
1401/01/21,8631703,8644674,8631703,12327548533557,1428171
1401/01/20,8230900,8243292,8230900,11755132931841,1428171
1401/01/19,8512259,8525078,8512259,12156962089315,1428171
1401/01/18,8512496,8525315,8512496,12157300615098,1428171
1401/01/17,8512734,8525552,8512734,12157639140881,1428171
1401/01/16,8351636,8364203,8351636,11927564912294,1428171
1401/01/15,8198073,8210418,8198073,11708250426320,1428171
1401/01/14,7844888,7856732,7844888,11203841560926,1428171
1401/01/13,7736019,7747704,7736019,11048358657408,1428171
1401/01/12,7736236,7747920,7736236,11048667511670,1428171
1401/01/11,7736452,7748136,7736452,11048976365932,1428171
1401/01/10,7736668,7748353,7736668,11049285220194,1428171
1401/01/09,7755593,7767314,7755593,11076312808355,1428171
1401/01/08,7770685,7782419,7770685,11097867142709,1428171
1401/01/07,7435247,7446513,7435247,10618803501995,1428171
1401/01/06,7295758,7306814,7295758,10419589813941,1428171
1401/01/05,7311050,7322129,7311050,10441429079217,1428171
1401/01/04,7311257,7322336,7311257,10441725425636,1428171
1401/01/03,7311465,7322544,7311465,10442021772055,1428171
1401/01/02,7311672,7322751,7311672,10442318118474,1428171
1401/01/01,7311880,7322959,7311880,10442614464893,1428171
1400/12/29,7312087,7323166,7312087,10442910811312,1428171
1400/12/28,7312308,7323387,7312308,10443226408144,1428171
1400/12/27,6960990,6971566,6960990,9941484398168,1428171
1400/12/26,6961189,6971765,6961189,9941767582349,1428171
1400/12/25,6961387,6971963,6961387,9942050766530,1428171
1400/12/24,6961585,6972161,6961585,9942333950750,1428171
1400/12/23,6887630,6898098,6887630,9836712902920,1428171
1400/12/22,6925614,6936137,6925614,9890960399109,1428171
1400/12/21,6952266,6962829,6952266,9929025067671,1428171
1400/12/20,7315262,7326370,7315262,10447444589055,1428171
1400/12/19,7315469,7326577,7315469,10447740784199,1428171
1400/12/18,7315676,7326785,7315676,10448036979343,1428171
1400/12/17,7228963,7239941,7228963,10324195972443,1428171
1400/12/16,7531500,7542932,7531500,10756269332710,1428171
1400/12/15,7679069,7690721,7679069,10967024026442,1428171
1400/12/14,7630156,7641734,7630156,10897166976636,1428171
1400/12/13,7275164,7286209,7275164,10390178616627,1428171
1400/12/12,7275370,7286415,7275370,10390472677720,1428171
1400/12/11,7275576,7286621,7275576,10390766738813,1428171
1400/12/10,7426934,7438206,7426934,10606931600875,1428171
1400/12/09,7427144,7438416,7427144,10607231605727,1428171
1400/12/08,7400890,7412122,7400890,10569736575097,1428171
1400/12/07,7454001,7465313,7454001,10645588372778,1428171
1400/12/06,7775268,7787059,7775268,11104412893724,1428171
1400/12/05,7775487,7787277,7775487,11104724508127,1428171
1400/12/04,7775705,7787495,7775705,11105036122530,1428171
1400/12/03,7772146,7783930,7772146,11099952965489,1428171
1400/12/02,7897018,7908990,7897018,11278291890516,1428171
1400/12/01,7564828,7576301,7564828,10803868367359,1428171
1400/11/30,7493270,7504634,7493270,10701671000025,1428171
1400/11/29,7176179,7187066,7176179,10248810669530,1428171
1400/11/28,7176381,7187268,7176381,10249098666856,1428171
1400/11/27,7176582,7187470,7176582,10249386664182,1428171
1400/11/26,7237222,7248200,7237222,10335991005382,1428171
1400/11/25,7237426,7248404,7237426,10336281379378,1428171
1400/11/24,7211187,7222126,7211187,10298808353003,1428171
1400/11/23,7472030,7483361,7472030,10671336919934,1428171
1400/11/22,7695107,7706772,7695107,10989928021165,1428171
1400/11/21,7695322,7706988,7695322,10990236368331,1428171
1400/11/20,7695538,7707203,7695538,10990544423314,1428171
1400/11/19,7737305,7749033,7737305,11050195256880,1428171
