تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,1699980,1703535,1699980,26208024161388,15416665
1401/03/06,1691961,1695510,1691961,26084402082797,15416665
1401/03/05,1692425,1695974,1692425,26091559655770,15416665
1401/03/04,1692890,1696439,1692890,26098717316390,15416665
1401/03/03,1690711,1694257,1690711,26065133999353,15416665
1401/03/02,1691721,1695267,1691721,26080695487206,15416665
1401/03/01,1695135,1698684,1695135,26133330992128,15416665
1401/02/31,1697156,1700706,1697156,26164492096856,15416665
1401/02/30,1702210,1705762,1702210,26242402987514,15416665
1401/02/29,1702613,1706166,1702613,26248621635315,15416665
1401/02/28,1703021,1706574,1703021,26254917383212,15416665
1401/02/27,1704489,1708042,1704489,26277540262367,15416665
1401/02/26,1710349,1713905,1710349,26367885217520,15416665
1401/02/25,1709707,1713262,1709707,26357995013200,15416665
1401/02/24,1713278,1716836,1713278,9633756801878,15416665
1401/02/23,1715846,1719404,1715846,26452627135049,15416665
1401/02/22,1716253,1719812,1716253,26458904979584,15416665
1401/02/21,1716660,1720219,1716660,26465182911735,15416665
1401/02/20,1715436,1718989,1715436,26446301129794,15416665
1401/02/19,1703778,1707321,1703778,9608193443667,15416665
1401/02/18,1692883,1696412,1692883,26098618342958,15416665
1401/02/17,1688147,1691671,1688147,26025596071961,15416665
1401/02/16,1690256,1693779,1690256,26058122419695,15416665
1401/02/15,1690664,1694187,1690664,26064414633912,15416665
1401/02/14,1691072,1694594,1691072,9670606788041,15416665
1401/02/13,1691478,1695001,1691478,9674295178579,15416665
1401/02/12,1691886,1695408,1691886,26083240603888,15416665
1401/02/11,1698153,1701678,1698153,26179868199801,15416665
1401/02/10,1688886,1692396,1688886,9597402847446,15416665
1401/02/09,1688562,1692070,1688562,26031995716181,15416665
1401/02/08,1688968,1692476,1688968,26038259307026,15416665
1401/02/07,1689374,1692882,1689374,26044522986277,15416665
1401/02/06,1695242,1698754,1695242,26134977877576,15416665
1401/02/05,1698232,1701745,1698232,26181085302763,15416665
1401/02/04,1701893,1705409,1701893,26237524406701,15416665
1401/02/03,1702523,1706039,1702523,26247234286619,15416665
1401/02/02,1702986,1706501,1702986,26254367757876,15416665
1401/02/01,1703449,1706965,1703449,9610447078884,15416665
1401/01/31,1703908,1707424,1703908,9614546600506,15416665
1401/01/30,1710420,1713941,1710420,9618562547942,15416665
1401/01/29,1707940,1711455,1707940,9579077765942,15416665
1401/01/28,1698966,1702467,1698966,9495564254871,15416665
1401/01/27,1707415,1710919,1707415,9499998695335,15416665
1401/01/26,1707681,1711184,1707681,9504433222269,15416665
1401/01/25,1708177,1711681,1708177,9508867835674,15416665
1401/01/24,1708674,1712177,1708674,9513302535548,15416665
1401/01/23,1708563,1712065,1708563,9517737321893,15416665
1401/01/22,1715112,1718619,1715112,9544160004310,15416665
1401/01/21,1704426,1707919,1704426,9548595806932,15416665
1401/01/20,1675415,1678868,1675415,9267190337611,15416665
1401/01/19,1675924,1679377,1675924,9271615356469,15416665
1401/01/18,1676419,1679872,1676419,9276040461797,15416665
1401/01/17,1676914,1680367,1676914,9280465653595,15416665
1401/01/16,1676661,1680113,1676661,9284890931864,15416665
1401/01/15,1676306,1679757,1676306,9289316293072,15416665
1401/01/14,1665439,1668878,1665439,9227778993223,15416665
1401/01/13,1660289,1663722,1660289,9210214449042,15416665
1401/01/12,1660783,1664216,1660783,9214636957597,15416665
1401/01/11,1661264,1664697,1661264,9218949727007,15416665
1401/01/10,1661746,1665178,1661746,9223262582887,15416665
1401/01/09,1655530,1658953,1655530,9205588135636,15416665
1401/01/08,1635651,1639044,1635651,9143936892316,15416665
1401/01/07,1618626,1621995,1618626,8883820805530,15416665
1401/01/06,1587092,1590414,1587092,8777980059115,15416665
1401/01/05,1572559,1575861,1572559,8671943262583,15416665
1401/01/04,1573008,1576310,1573008,8675986905953,15416665
1401/01/03,1573457,1576759,1573457,8680030635793,15416665
1401/01/02,1573905,1577208,1573905,8684074452104,15416665
1401/01/01,1574354,1577656,1574354,8688118354884,15416665
1400/12/29,1574802,1578104,1574802,8692148505849,15416665
1400/12/28,1575245,1578548,1575245,8696109810427,15416665
1400/12/27,1504140,1507341,1504140,7819744120937,15416665
1400/12/26,1504587,1507787,1504587,7823754362220,15416665
1400/12/25,1505033,1508234,1505033,7827764689973,15416665
1400/12/24,1504013,1507234,1504013,7831775104197,15416665
1400/12/23,1499008,1502223,1499008,7791765124285,15416665
1400/12/22,1489477,1492682,1489477,7773765232593,15416665
1400/12/21,1486916,1490118,1486916,7777774823479,15416665
1400/12/20,1496062,1499276,1496062,7847815221742,15416665
1400/12/19,1496509,1499723,1496509,7851827518156,15416665
1400/12/18,1496956,1500169,1496956,7855839901040,15416665
1400/12/17,1493532,1496743,1493532,7859854016656,15416665
1400/12/16,1495002,1498214,1495002,7863868218741,15416665
1400/12/15,1488632,1491839,1488632,7867882503668,15416665
1400/12/14,1487438,1490643,1487438,7871897054051,15416665
1400/12/13,1479075,1482266,1479075,7765860765497,15416665
1400/12/12,1479521,1482712,1479521,7769870425153,15416665
1400/12/11,1479967,1483158,1479967,7773880245904,15416665
1400/12/10,1481382,1484576,1481382,7777890452845,15416665
1400/12/09,1481828,1485022,1481828,7781900307744,15416665
1400/12/08,1484264,1487457,1484264,7785903025730,15416665
1400/12/07,1485257,1488450,1485257,7789907784861,15416665
1400/12/06,1481112,1484305,1481112,7837930586770,15416665
1400/12/05,1481557,1484750,1481557,7841935569613,15416665
1400/12/04,1482002,1485195,1482002,7845940638927,15416665
1400/12/03,1469670,1472850,1469670,7783916572720,15416665
1400/12/02,1467939,1471117,1467939,7787919282443,15416665
1400/12/01,1456580,1459742,1456580,7703883115982,15416665
