تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,1005317,1006544,1015537,3331217427852,3313599
1401/03/06,1004985,1006163,1014474,3507200746090,3489802
1401/03/05,1004591,1005769,1014122,3505825513864,3489802
1401/03/04,1004202,1005380,1013774,3504466378579,3489802
1401/03/03,1003331,1004498,1014532,3505895813689,3494254
1401/03/02,1003893,1005066,1012084,3504729989113,3491137
1401/03/01,1004354,1005556,1012589,3500015596205,3484842
1401/02/31,1003753,1004954,1014364,3501208958029,3488117
1401/02/30,1002292,1003534,1005816,3496943225403,3488946
1401/02/29,1001927,1003169,1005493,3495669214556,3488946
1401/02/28,1001554,1002797,1005164,3494369714764,3488946
1401/02/27,1001273,1002526,1004122,3494015496734,3489573
1401/02/26,1000822,1002066,1003715,3512685601798,3509798
1401/02/25,1000000,1001264,1004007,3500155722844,3500155
1401/02/24,1016361,1017576,1019458,3561220970662,3503891
1401/02/23,1015709,1016903,1018771,3577694488552,3522359
1401/02/22,1015330,1016524,1018412,3576358343304,3522359
1401/02/21,1014962,1016155,1018062,3575061089254,3522359
1401/02/20,1014063,1015238,1017182,3575840378434,3526249
1401/02/19,1013861,1015038,1017035,3570917118255,3522095
1401/02/18,1013496,1014726,1016777,3553697330791,3506372
1401/02/17,1012698,1013923,1016028,3557723610267,3513112
1401/02/16,1011977,1013208,1015354,3566249111316,3524041
1401/02/15,1011608,1012839,1015003,3564950370222,3524041
1401/02/14,1011239,1012470,1014652,3563649473882,3524041
1401/02/13,1010872,1012103,1014303,3562355979759,3524041
1401/02/12,1010433,1011663,1013883,3560810444695,3524041
1401/02/11,1009509,1010741,1013127,3556023233320,3522526
1401/02/10,1009145,1010411,1012515,3553306600641,3521105
1401/02/09,1008266,1009521,1011225,3552369747713,3523245
1401/02/08,1007899,1009154,1010876,3551076155296,3523245
1401/02/07,1007530,1008785,1010526,3549777639958,3523245
1401/02/06,1006705,1007977,1009720,3545578781710,3521961
1401/02/05,1006141,1007410,1008805,3546835941025,3525187
1401/02/04,1005669,1006939,1007991,3541559214092,3521592
1401/02/03,1004968,1006245,1007328,3537368387699,3519880
1401/02/02,1004598,1005875,1006976,3536066671819,3519880
1401/02/01,1004229,1005506,1006626,3534768435255,3519880
1401/01/31,1003864,1005141,1006279,3533480843660,3519880
1401/01/30,1003265,1004542,1005719,3532284768886,3520786
1401/01/29,1002200,1003468,1004696,3521743939379,3514010
1401/01/28,1003391,1004645,1006385,3524942974901,3513030
1401/01/27,1001912,1003159,1004964,3517535267742,3510820
1401/01/26,1000367,1001599,1003505,3499213125362,3497929
1401/01/25,1000000,1001232,1003157,3497930456475,3497929
1401/01/24,1018717,1019950,1019432,3563402382888,3497929
1401/01/23,1017616,1018845,1018928,3563215496816,3501530
1401/01/22,1017840,1019147,1018798,3418969397321,3359042
1401/01/21,1017144,1018461,1019179,3415533912957,3357964
1401/01/20,1016359,1017638,1018429,3416296815740,3361306
1401/01/19,1015609,1016741,1017467,3413529854332,3361066
1401/01/18,1015225,1016358,1017102,3412240916556,3361066
1401/01/17,1014924,1016056,1016818,3411227738260,3361066
1401/01/16,1014482,1015812,1016253,2907167903483,2865667
1401/01/15,1013682,1014981,1015474,2904522432510,2865317
1401/01/14,1012753,1014099,1025009,2499309809076,2467836
1401/01/13,1012209,1013531,1035187,2502369527162,2472185
1401/01/12,1011856,1013178,1034860,2501495849201,2472185
1401/01/11,1011491,1012813,1034519,2500594734662,2472185
1401/01/10,1011001,1012321,1034052,2499382653543,2472185
1401/01/09,1009377,1010669,1032526,2493077791577,2469915
1401/01/08,1007991,1009263,1031208,2487618610282,2467897
1401/01/07,1007139,1008400,1030412,2482127027070,2464531
1401/01/06,1005895,1007117,1029257,2475094666552,2460589
1401/01/05,1005542,1006689,1028947,2472181380570,2458556
1401/01/04,1005188,1006335,1028617,2471313159305,2458556
1401/01/03,1004811,1005957,1028263,2470384390406,2458556
1401/01/02,1004458,1005605,1027934,2469518519076,2458556
1401/01/01,1004107,1005254,1027607,2468655305384,2458556
1400/12/29,1003768,1004914,1027294,2467820882262,2458556
1400/12/28,1003411,1004558,1026960,2466944358004,2458556
1400/12/27,1000659,1001760,1024447,2440615826661,2439008
1400/12/26,1000381,1001482,1024193,2439938931873,2439008
1400/12/25,1000000,1001106,1023758,2439008696540,2439008
1400/12/24,1016043,1017395,1049255,1975639149389,1944443
1400/12/23,1015705,1017050,1049291,1960164461023,1929856
1400/12/22,1015167,1016504,1048818,1955331585859,1926118
1400/12/21,1014922,1016243,1048506,1962642511701,1933786
1400/12/20,1014714,1016038,1048547,1951651710961,1923351
1400/12/19,1014350,1015675,1048216,1950952518108,1923351
1400/12/18,1013819,1015143,1047718,1949931661283,1923351
1400/12/17,1013285,1014624,1047454,1936476879098,1911087
1400/12/16,1012731,1014060,1047155,1934974411128,1910649
1400/12/15,1011497,1012849,1046044,1929518153851,1907586
1400/12/14,1010750,1012094,1037792,1933993724305,1913424
1400/12/13,1009911,1011224,1036719,1949842108079,1930705
1400/12/12,1009551,1010863,1036390,1949145181406,1930705
1400/12/11,1009215,1010528,1036091,1948497491501,1930705
1400/12/10,1012223,1013544,1050036,1945314090904,1921822
1400/12/09,1011790,1013110,1049632,1944480840208,1921822
1400/12/08,1007320,1008638,1035560,1932972989730,1918926
1400/12/07,1006762,1008082,1035101,1928675970466,1915720
1400/12/06,1006085,1007421,1034469,1926776054723,1915121
1400/12/05,1005722,1007058,1034139,1926080720542,1915121
1400/12/04,1005359,1006695,1033809,1925385454179,1915121
1400/12/03,1004598,1005934,1033142,1922086018240,1913288
1400/12/02,1003638,1004978,1032256,1917489939211,1910538
1400/12/01,1003043,1004375,1031881,1913051650463,1907246
1400/11/30,1002614,1003952,1031563,1909494487813,1904515
1400/11/29,1001827,1003162,1030997,1909646792988,1906164
1400/11/28,1001462,1002797,1030666,1908952247829,1906164
1400/11/27,1001061,1002404,1030298,1908187760961,1906164
1400/11/26,1000420,1001763,1028728,1906191804006,1905391
1400/11/25,1000000,1001338,1028341,1905391992217,1905391
1400/11/24,1014854,1016209,1045407,1934361764543,1906048
1400/11/23,1014741,1016102,1045425,1932373069027,1904301
1400/11/22,1013961,1015317,1044578,1928428837372,1901875
1400/11/21,1013582,1014937,1044233,1927706342899,1901875
1400/11/20,1013180,1014535,1043867,1926943203108,1901875
1400/11/19,1012626,1013978,1043380,1925140194718,1901136
1400/11/18,1012010,1013386,1042835,1924126213935,1901290
1400/11/17,1011333,1012702,1042221,1923097612168,1901547
1400/11/16,1011197,1012472,1042199,1920133403066,1898871
1400/11/15,1010282,1011502,1041367,1919181385437,1899648
1400/11/14,1009859,1011078,1040979,1918377736873,1899648
1400/11/13,1009438,1010656,1040593,1917577530693,1899648
1400/11/12,1008868,1009993,1040073,1911930438275,1895123
1400/11/11,1008150,1009264,1039263,1909908621363,1894467
