تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,1011683,1012192,1020929,61380047215765,60671197
1401/03/06,1011139,1011648,1020689,61471353799158,60794136
1401/03/05,1010598,1011107,1020184,61438438140382,60794136
1401/03/04,1010061,1010571,1019695,61315803420792,60705005
1401/03/03,1009526,1010035,1019758,61264777003516,60686622
1401/03/02,1009000,1009512,1016006,61274947947594,60728391
1401/03/01,1008469,1008984,1016326,60881124946956,60369825
1401/02/31,1007948,1008482,1015534,58529656260508,58068093
1401/02/30,1007426,1007962,1015744,58713926176497,58281127
1401/02/29,1006908,1007444,1015214,58683736569573,58281127
1401/02/28,1006393,1006928,1014680,58692461033981,58319621
1401/02/27,1005887,1006387,1013315,62892497709082,62524414
1401/02/26,1005378,1005880,1012819,62492923701229,62158589
1401/02/25,1004872,1005367,1012645,62484589015620,62181631
1401/02/24,1004370,1004849,1010987,60890124504887,60625192
1401/02/23,1003871,1004371,1010118,58465089497313,58239627
1401/02/22,1003378,1003878,1009584,58436373637362,58239627
1401/02/21,1002885,1003386,1008984,58406518007818,58238451
1401/02/20,1002394,1002895,1007460,58359692697610,58220272
1401/02/19,1001911,1002423,1005556,57229152221799,57119950
1401/02/18,1001429,1001930,1006438,58338217667323,58254953
1401/02/17,1000950,1001450,1004225,58413096379871,58357633
1401/02/16,1000472,1000971,1001700,58485407517118,58457814
1401/02/15,1000000,1000500,1001125,58457863228263,58457814
1401/02/14,1015528,1016025,1016887,59529386168929,58619144
1401/02/13,1014987,1015485,1016347,59497727260933,58619144
1401/02/12,1014447,1014944,1015806,59466033235881,58619144
1401/02/11,1013609,1014098,1013609,59436796928413,58638727
1401/02/10,1012188,1012670,1012188,59371490217977,58656570
1401/02/09,1012774,1013377,986692,58395136155229,57658601
1401/02/08,1012224,1012828,986256,58363454341731,57658601
1401/02/07,1011682,1012287,985774,58194698782603,57522681
1401/02/06,1011139,1011749,985884,58133832914151,57493356
1401/02/05,1010597,1011161,985447,61705811125214,61058760
1401/02/04,1010060,1010627,985728,61790753841138,61175322
1401/02/03,1009526,1010101,985682,61869767541380,61285938
1401/02/02,1009000,1009575,985236,61837567164342,61285938
1401/02/01,1008472,1009047,984789,61805191273275,61285938
