تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,9906154,9947249,9906154,724585703346,73145
1401/03/06,9983442,10025110,9983442,729839548861,73105
1401/03/05,9981714,10023382,9981714,729713237146,73105
1401/03/04,9979916,10021584,9979916,729581778372,73105
1401/03/03,9923678,9964906,9923678,725470522494,73105
1401/03/02,9934519,9974760,9934519,726342505183,73113
1401/03/01,10033449,10075486,10033449,733675936555,73123
1401/02/31,9996633,10037879,9996633,730983865901,73123
1401/02/30,10025058,10066720,10025058,737393187705,73555
1401/02/29,10024070,10065732,10024070,737320540441,73555
1401/02/28,10023084,10064746,10023084,737247993604,73555
1401/02/27,10058577,10100495,10058577,739828508883,73552
1401/02/26,10046679,10091464,10046679,738953367725,73552
1401/02/25,10032707,10079662,10032707,737955769513,73555
1401/02/24,10064232,10114767,10064232,740033073977,73531
1401/02/23,9990877,10040977,9990877,733660088505,73433
1401/02/22,9989941,10040041,9989941,733591360575,73433
1401/02/21,9989006,10039107,9989006,733522729073,73433
1401/02/20,9854497,9903664,9854497,723842392697,73453
1401/02/19,9867236,9916565,9867236,723742088271,73348
1401/02/18,9917783,9967470,9917783,727439695233,73347
1401/02/17,9907995,9957621,9907995,726721754042,73347
1401/02/16,9819975,9868995,9819975,720314818101,73352
1401/02/15,9818956,9867976,9818956,720240116105,73352
1401/02/14,9818023,9867043,9818023,720171625631,73352
1401/02/13,9817090,9866110,9817090,720103231576,73352
1401/02/12,9816159,9865179,9816159,720034933940,73352
1401/02/11,9752275,9800857,9752275,715348914014,73352
1401/02/10,9696079,9744282,9696079,711226797722,73352
1401/02/09,9647982,9695860,9647982,707698823229,73352
1401/02/08,9647012,9694890,9647012,707627643731,73352
1401/02/07,9646078,9693956,9646078,707559174820,73352
1401/02/06,9634364,9682170,9634364,706699928026,73352
1401/02/05,9533829,9580944,9533829,699325487655,73352
1401/02/04,9477025,9523753,9477025,695158740937,73352
