تاریخ,قیمت ابطال,قیمت صدور,قیمت آماری,ارزش خالص دارایی‌ها,تعداد واحدهای سرمایه‌گذاری شده
1401/03/07,44560,44611,44560,120141034588654,2696221420
1401/03/06,44561,44613,44561,119878090057277,2690221420
1401/03/05,44543,44596,44543,119830479264183,2690221420
1401/03/04,44525,44577,44525,119780015299236,2690221420
1401/03/03,44469,44521,44469,119629730956811,2690221420
1401/03/02,44481,44535,44481,115064239087131,2586821420
1401/03/01,44603,44657,44603,115378831165901,2586821420
1401/02/31,44547,44601,44547,115233104448325,2586821420
1401/02/30,44466,44520,44466,115024214843057,2586821420
1401/02/29,44444,44499,44444,114968537268917,2586821420
1401/02/28,44419,44473,44419,114901639789436,2586821420
1401/02/27,44475,44529,44475,115048109416284,2586821420
1401/02/26,44365,44419,44365,114762131171706,2586821420
1401/02/25,44331,44386,44331,114676127424201,2586821420
1401/02/24,44310,44364,44310,114620184068397,2586821420
1401/02/23,44292,44346,44292,114574236317480,2586821420
1401/02/22,44275,44329,44275,114529263855011,2586821420
1401/02/21,44254,44308,44254,114476604092516,2586821420
1401/02/20,44153,44207,44153,114213988570066,2586821420
1401/02/19,44054,44108,44054,113958432090594,2586821420
1401/02/18,44081,44136,44081,112167726749409,2544621420
1401/02/17,44070,44124,44070,112139458210219,2544621420
1401/02/16,44032,44085,44032,112042500933916,2544621420
1401/02/15,44013,44066,44013,111994225854505,2544621420
1401/02/14,43992,44046,43992,111941686664335,2544621420
1401/02/13,43975,44028,43975,111897586254129,2544621420
1401/02/12,43957,44011,43957,111852296390365,2544621420
1401/02/11,43914,43968,43914,111744200786051,2544621420
1401/02/10,43832,43885,43832,111064373559364,2533921420
1401/02/09,43951,44005,43951,110061321648856,2504221420
1401/02/08,43933,43988,43933,110017918518814,2504221420
1401/02/07,43913,43967,43913,109966465910984,2504221420
1401/02/06,43910,43964,43910,109958271725272,2504221420
1401/02/05,43876,43930,43876,109873102592018,2504221420
1401/02/04,43819,43873,43819,109731424760824,2504221420
1401/02/03,43713,43767,43713,109466237446849,2504221420
1401/02/02,43691,43745,43691,109410472405512,2504221420
1401/02/01,43674,43728,43674,109367437936889,2504221420
1401/01/31,43656,43710,43656,109323301357879,2504221420
1401/01/30,43609,43664,43609,109204399233544,2504221420
1401/01/29,43543,43600,43543,105647954145117,2426321420
1401/01/28,43511,43568,43511,105570797334770,2426321420
1401/01/27,43505,43551,43505,105555706781315,2426321420
1401/01/26,43448,43491,43448,107936798811659,2484321420
1401/01/25,43430,43474,43430,107893633889945,2484321420
1401/01/24,43413,43456,43413,107849629805181,2484321420
1401/01/23,43329,43372,43329,107642102561967,2484321420
1401/01/22,43368,43411,43368,107738340216359,2484321420
1401/01/21,43300,43344,43300,107570179650755,2484321420
1401/01/20,43407,43451,43407,106837096330808,2461321420
1401/01/19,43287,43331,43287,105746279773750,2442921420
1401/01/18,43270,43314,43270,105704020534470,2442921420
1401/01/17,43253,43297,43253,105661821255318,2442921420
1401/01/16,43258,43302,43258,105168365608611,2431221420
1401/01/15,43207,43251,43207,104265891880773,2413221420
1401/01/14,43297,43343,43297,102275682215902,2362221420
1401/01/13,43279,43325,43279,102234176923428,2362221420
1401/01/12,43262,43308,43262,102193816206761,2362221420
1401/01/11,43245,43291,43245,102153629683318,2362221420
1401/01/10,43228,43273,43228,102112343166383,2362221420
1401/01/09,43218,43263,43218,102089091003632,2362221420
1401/01/08,43128,43174,43128,101877589111849,2362221420
1401/01/07,43094,43139,43094,101796190955111,2362221420
1401/01/06,43018,43063,43018,101617226067645,2362221420
1401/01/05,43051,43097,43051,98392047315406,2285521420
1401/01/04,43033,43080,43033,98352021956041,2285521420
1401/01/03,43017,43063,43017,98314724409771,2285521420
1401/01/02,42996,43042,42996,98266671385529,2285521420
1401/01/01,42979,43026,42979,98228265967684,2285521420
1400/12/29,42963,43009,42963,98191397753086,2285521420
1400/12/28,42947,42993,42947,98155043228336,2285521420
1400/12/27,42903,42949,42903,98055126871757,2285521420
1400/12/26,42887,42933,42887,98018067560240,2285521420
1400/12/25,42870,42916,42870,97979316778835,2285521420
1400/12/24,42708,42754,42708,97608706254673,2285521420
1400/12/23,42691,42737,42691,97569330750842,2285521420
1400/12/22,42674,42719,42674,97530186229826,2285521420
1400/12/21,42655,42700,42655,97486982025273,2285521420
1400/12/20,42645,42691,42645,97465788390011,2285521420
1400/12/19,42628,42674,42628,97425126266506,2285521420
1400/12/18,42608,42654,42608,97379829088734,2285521420
1400/12/17,42581,42626,42581,100726070558438,2365521420
1400/12/16,42570,42614,42570,100698888466847,2365521420
1400/12/15,42540,42584,42540,100628043020700,2365521420
1400/12/14,42500,42543,42500,103126787462133,2426521420
1400/12/13,42448,42490,42448,102999571150560,2426521420
1400/12/12,42432,42474,42432,102959927334677,2426521420
1400/12/11,42414,42457,42414,102917307910849,2426521420
1400/12/10,42390,42432,42390,102858035677352,2426521420
1400/12/09,42373,42416,42373,102818534760407,2426521420
1400/12/08,42357,42400,42357,102778962721630,2426521420
1400/12/07,42343,42386,42343,102746045231631,2426521420
1400/12/06,42314,42357,42314,102675748478991,2426521420
1400/12/05,42298,42340,42298,102635679673616,2426521420
1400/12/04,42279,42321,42279,102588724847517,2426521420
1400/12/03,42248,42290,42248,102513909067056,2426521420
1400/12/02,42182,42225,42182,102354772894368,2426521420
1400/12/01,42141,42183,42141,102019016978465,2420921420
1400/11/30,41743,41783,41743,101055827170308,2420921420
1400/11/29,42098,42144,42098,101915828407083,2420921420
1400/11/28,42081,42126,42081,101873839116540,2420921420
1400/11/27,42063,42108,42063,101829945384715,2420921420
1400/11/26,42036,42081,42036,101763858998547,2420921420
1400/11/25,42017,42062,42017,101717910754004,2420921420
1400/11/24,41985,42030,41985,101641596354867,2420921420
1400/11/23,41957,42002,41957,101573798492749,2420921420
1400/11/22,41943,41988,41943,99504615677760,2372421420
1400/11/21,41926,41971,41926,99465047707682,2372421420
1400/11/20,41907,41952,41907,99419250998994,2372421420
1400/11/19,41879,41924,41879,99353902418115,2372421420
1400/11/18,41862,41907,41862,99312164565241,2372421420
1400/11/17,41780,41825,41780,99119326128923,2372421420
1400/11/16,41817,41862,41817,99207499243807,2372421420
1400/11/15,41804,41849,41166,99176524609995,2372421420
1400/11/14,41788,41832,41149,99136783920215,2372421420
1400/11/13,41771,41815,41132,99096088908777,2372421420
1400/11/12,41696,41741,41064,98920217369829,2372421420
1400/11/11,41630,41674,40998,98761638761598,2372421420
1400/11/10,41665,41709,41037,98845333380936,2372421420
1400/11/09,41639,41684,41016,98785197280525,2372421420
1400/11/08,41458,41502,40772,98355227592004,2372421420
1400/11/07,41442,41486,40757,98315534542180,2372421420
1400/11/06,41424,41468,40743,98274821553743,2372421420
1400/11/05,41583,41629,40923,98652191104275,2372421420
1400/11/04,41566,41612,40937,98611943079966,2372421420
1400/11/03,41566,41612,40953,98611394373935,2372421420
1400/11/02,41538,41584,40945,98544761676423,2372421420
1400/11/01,41488,41534,40913,98425597981833,2372421420
1400/10/30,41472,41518,40897,98388472273460,2372421420
1400/10/29,41455,41500,40883,98347114159846,2372421420
1400/10/28,41402,41448,40854,98222812423292,2372421420
1400/10/27,41387,41433,40912,98187083255464,2372421420
1400/10/26,41377,41423,40919,98163494377271,2372421420
1400/10/25,41342,41387,40921,98080245305045,2372421420
1400/10/24,41337,41382,40948,98068035802560,2372421420
1400/10/23,41320,41365,40934,98027868932379,2372421420
1400/10/22,41304,41349,40919,97988801949672,2372421420
1400/10/21,41293,41338,40945,97963637627593,2372421420
1400/10/20,41266,41311,40910,97197151226597,2355421420
1400/10/19,41367,41412,41013,96429711858225,2331121420
1400/10/18,41250,41295,40961,96156734965960,2331121420
1400/10/17,41225,41270,40943,96099072705131,2331121420
1400/10/16,41208,41253,40929,96059708520021,2331121420
1400/10/15,41191,41237,40914,96020386181294,2331121420
1400/10/14,41150,41196,40861,94402759213515,2294121420
1400/10/13,41165,41211,40902,94436861415751,2294121420
1400/10/12,41094,41140,40854,94273762170177,2294121420
1400/10/11,41053,41099,40829,93111800345057,2268121420
1400/10/10,41079,41123,40876,92579376797471,2253721420
1400/10/09,41062,41105,40861,92540701924053,2253721420
1400/10/08,41045,41089,40847,92503137470463,2253721420
1400/10/07,41027,41071,40837,92462005699148,2253721420
1400/10/06,41011,41054,40826,92425243833544,2253721420
1400/10/05,40994,41039,40750,90625538605300,2210721420
1400/10/04,40949,40993,40719,90525310011721,2210721420
